Trial #	Score1	Score2	Score3	Trades1	Trades2	Trades3	Fees1	Fees2	Fees3	Winrate1	Winrate2	Winrate3	Average	Deviation	Parameters
737	1.04	3.33	3.23	431	54	34	5471.02	561.7	298.24	57	59	71	2.533	1.29423	{'ott_len': 32, 'ott_percent': 103, 'ott_bw_up': 124, 'tps_qty_index': 84, 'max_risk_long': 91}
743	1.44	1.52	5.68	322	41	24	4523.04	379.26	235.29	59	59	83	2.88	2.4252	{'ott_len': 70, 'ott_percent': 129, 'ott_bw_up': 116, 'tps_qty_index': 16, 'max_risk_long': 82}
745	1.46	-0.02	5.3	278	33	24	3977.94	253.98	235.61	56	55	83	2.247	2.74586	{'ott_len': 68, 'ott_percent': 170, 'ott_bw_up': 134, 'tps_qty_index': 69, 'max_risk_long': 52}
746	1.24	2.23	5.07	362	44	28	4841.02	431.5	256.01	57	64	68	2.847	1.98807	{'ott_len': 73, 'ott_percent': 129, 'ott_bw_up': 111, 'tps_qty_index': 65, 'max_risk_long': 81}
748	1.15	5.7	3.74	112	10	11	1099.16	87.68	93.5	54	100	82	3.53	2.28226	{'ott_len': 33, 'ott_percent': 78, 'ott_bw_up': 147, 'tps_qty_index': 86, 'max_risk_long': 52}
749	1.1	5.8	4.29	142	10	13	1257.34	85.08	112.03	61	90	92	3.73	2.39952	{'ott_len': 33, 'ott_percent': 103, 'ott_bw_up': 149, 'tps_qty_index': 110, 'max_risk_long': 49}
751	1.34	3.45	3.37	199	16	16	2207.98	132.06	138.85	63	69	75	2.72	1.19578	{'ott_len': 31, 'ott_percent': 103, 'ott_bw_up': 147, 'tps_qty_index': 107, 'max_risk_long': 55}
753	1.85	3.7	3.49	263	25	18	5062.13	221.77	157.77	53	64	72	3.013	1.01293	{'ott_len': 33, 'ott_percent': 170, 'ott_bw_up': 171, 'tps_qty_index': 59, 'max_risk_long': 65}
757	2.04	0.78	5.55	286	31	24	5244.51	262.6	229.52	59	55	83	2.79	2.47186	{'ott_len': 70, 'ott_percent': 129, 'ott_bw_up': 116, 'tps_qty_index': 93, 'max_risk_long': 65}
760	1.4	3.39	3.85	301	37	21	4660.54	340.3	185.4	59	70	76	2.88	1.30219	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 98, 'max_risk_long': 91}
775	1.47	3.04	3.71	147	18	13	1622.96	152.6	112.45	62	78	77	2.74	1.14974	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 171, 'tps_qty_index': 79, 'max_risk_long': 65}
776	1.14	1.01	2.84	766	127	69	9945.23	1117.21	615.95	53	52	64	1.663	1.02109	{'ott_len': 31, 'ott_percent': 202, 'ott_bw_up': 147, 'tps_qty_index': 37, 'max_risk_long': 65}
777	1.23	5.54	4.04	162	18	12	1657.93	165.22	102.71	59	89	83	3.603	2.18793	{'ott_len': 33, 'ott_percent': 78, 'ott_bw_up': 147, 'tps_qty_index': 84, 'max_risk_long': 67}
782	1.16	4.18	3.65	254	29	15	3175.34	289.3	129.63	53	69	87	2.997	1.61252	{'ott_len': 33, 'ott_percent': 112, 'ott_bw_up': 149, 'tps_qty_index': 94, 'max_risk_long': 80}
785	1.2	0.67	3.44	595	86	53	8028.21	718.27	515.07	53	50	64	1.77	1.47034	{'ott_len': 33, 'ott_percent': 170, 'ott_bw_up': 138, 'tps_qty_index': 70, 'max_risk_long': 52}
787	1.17	3.15	3.4	415	50	32	6035.14	487.54	284.52	56	62	66	2.573	1.22173	{'ott_len': 31, 'ott_percent': 157, 'ott_bw_up': 149, 'tps_qty_index': 98, 'max_risk_long': 60}
795	1.18	1.0	3.42	803	140	70	10308.45	1254.56	701.15	49	50	61	1.867	1.34823	{'ott_len': 40, 'ott_percent': 78, 'ott_bw_up': 81, 'tps_qty_index': 17, 'max_risk_long': 65}
799	1.11	3.9	3.85	95	7	12	923.73	57.77	100.49	57	86	83	2.953	1.59657	{'ott_len': 48, 'ott_percent': 78, 'ott_bw_up': 139, 'tps_qty_index': 65, 'max_risk_long': 61}
800	1.04	4.05	4.02	238	29	14	2549.49	269.83	121.61	61	76	86	3.037	1.72923	{'ott_len': 32, 'ott_percent': 103, 'ott_bw_up': 147, 'tps_qty_index': 84, 'max_risk_long': 77}
802	1.03	1.35	2.59	1357	209	134	14526.27	1868.67	1283.21	50	54	52	1.657	0.82397	{'ott_len': 31, 'ott_percent': 133, 'ott_bw_up': 94, 'tps_qty_index': 42, 'max_risk_long': 55}
811	1.86	2.92	3.4	235	21	20	3365.75	175.64	175.83	56	62	70	2.727	0.78799	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 69, 'max_risk_long': 52}
812	1.45	0.06	3.85	146	14	14	2061.61	109.26	126.06	60	50	93	1.787	1.9173	{'ott_len': 68, 'ott_percent': 129, 'ott_bw_up': 135, 'tps_qty_index': 65, 'max_risk_long': 66}
813	1.23	2.14	2.74	471	60	39	6311.54	508.19	361.25	58	60	67	2.037	0.76029	{'ott_len': 33, 'ott_percent': 176, 'ott_bw_up': 149, 'tps_qty_index': 86, 'max_risk_long': 52}
814	1.31	1.91	3.72	713	117	62	9888.31	1104.63	634.4	53	55	66	2.313	1.2546	{'ott_len': 37, 'ott_percent': 129, 'ott_bw_up': 111, 'tps_qty_index': 42, 'max_risk_long': 65}
820	1.14	2.74	2.92	72	5	8	720.94	40.89	65.61	57	80	75	2.267	0.97986	{'ott_len': 48, 'ott_percent': 78, 'ott_bw_up': 147, 'tps_qty_index': 10, 'max_risk_long': 61}
821	1.56	2.81	3.23	267	25	23	3453.19	214.24	204.19	56	56	70	2.533	0.8687	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 145, 'tps_qty_index': 69, 'max_risk_long': 52}
823	1.17	3.67	4.24	206	28	13	2275.47	256.53	112.42	62	75	85	3.027	1.63298	{'ott_len': 33, 'ott_percent': 91, 'ott_bw_up': 147, 'tps_qty_index': 84, 'max_risk_long': 85}
832	1.17	0.3	4.67	404	47	33	5347.67	367.51	320.25	55	51	76	2.047	2.31314	{'ott_len': 40, 'ott_percent': 78, 'ott_bw_up': 104, 'tps_qty_index': 69, 'max_risk_long': 65}
833	1.19	0.34	4.14	438	56	37	5660.29	433.11	360.1	58	59	73	1.89	1.99437	{'ott_len': 44, 'ott_percent': 103, 'ott_bw_up': 111, 'tps_qty_index': 84, 'max_risk_long': 69}
834	1.07	5.45	3.94	161	18	12	1537.2	166.67	102.51	55	89	83	3.487	2.22491	{'ott_len': 33, 'ott_percent': 78, 'ott_bw_up': 147, 'tps_qty_index': 77, 'max_risk_long': 67}
835	1.47	0.68	5.11	404	47	31	6785.15	409.63	306.38	58	55	74	2.42	2.36286	{'ott_len': 66, 'ott_percent': 129, 'ott_bw_up': 110, 'tps_qty_index': 37, 'max_risk_long': 65}
841	1.79	-0.16	5.07	269	30	22	4604.15	240.11	207.14	58	40	86	2.233	2.64303	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 138, 'tps_qty_index': 93, 'max_risk_long': 65}
845	1.58	1.8	3.98	796	137	70	16530.75	1381.12	700.6	51	47	63	2.453	1.3267	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 111, 'tps_qty_index': 56, 'max_risk_long': 82}
846	1.17	-0.16	2.68	568	85	60	7763.02	661.89	553.58	53	55	67	1.23	1.42095	{'ott_len': 50, 'ott_percent': 103, 'ott_bw_up': 92, 'tps_qty_index': 42, 'max_risk_long': 45}
850	1.88	2.48	3.01	214	19	19	2749.88	156.61	164.41	58	63	74	2.457	0.56536	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 84, 'max_risk_long': 50}
853	1.48	0.36	3.84	681	110	62	11081.57	886.11	628.97	53	50	68	1.893	1.77644	{'ott_len': 33, 'ott_percent': 170, 'ott_bw_up': 134, 'tps_qty_index': 69, 'max_risk_long': 52}
854	1.29	5.88	4.26	151	10	14	1415.89	86.03	120.73	63	90	86	3.81	2.32785	{'ott_len': 33, 'ott_percent': 103, 'ott_bw_up': 147, 'tps_qty_index': 110, 'max_risk_long': 49}
855	1.92	-0.09	4.43	303	34	21	4802.63	271.06	197.39	56	59	71	2.087	2.2646	{'ott_len': 68, 'ott_percent': 78, 'ott_bw_up': 88, 'tps_qty_index': 18, 'max_risk_long': 49}
856	1.39	3.88	3.66	200	16	16	2254.92	133.12	138.88	66	81	75	2.977	1.37849	{'ott_len': 31, 'ott_percent': 103, 'ott_bw_up': 147, 'tps_qty_index': 110, 'max_risk_long': 55}
858	1.25	-0.11	3.51	599	86	53	8819.82	681.05	532.02	52	47	64	1.55	1.82855	{'ott_len': 33, 'ott_percent': 170, 'ott_bw_up': 138, 'tps_qty_index': 64, 'max_risk_long': 52}
863	2.03	0.07	4.13	216	22	19	3821.79	175.98	173.57	56	41	84	2.077	2.0304	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 138, 'tps_qty_index': 57, 'max_risk_long': 52}
864	1.24	-0.48	3.67	437	65	33	5965.59	523.1	298.25	56	51	61	1.477	2.0851	{'ott_len': 62, 'ott_percent': 129, 'ott_bw_up': 111, 'tps_qty_index': 65, 'max_risk_long': 91}
867	1.18	5.44	3.79	164	11	13	1667.29	94.67	111.23	52	82	77	3.47	2.14795	{'ott_len': 35, 'ott_percent': 78, 'ott_bw_up': 134, 'tps_qty_index': 64, 'max_risk_long': 52}
871	1.16	2.96	4.58	312	36	26	4089.21	316.85	232.48	63	72	77	2.9	1.71079	{'ott_len': 31, 'ott_percent': 129, 'ott_bw_up': 147, 'tps_qty_index': 110, 'max_risk_long': 65}
872	1.17	0.6	4.83	728	121	62	10711.33	1056.47	698.55	52	50	73	2.2	2.29541	{'ott_len': 31, 'ott_percent': 170, 'ott_bw_up': 135, 'tps_qty_index': 38, 'max_risk_long': 93}
882	1.09	0.72	2.92	1158	192	108	10190.44	1551.98	1049.06	48	52	55	1.577	1.17798	{'ott_len': 31, 'ott_percent': 103, 'ott_bw_up': 88, 'tps_qty_index': 72, 'max_risk_long': 55}
891	1.16	0.88	3.67	443	57	34	5739.3	465.66	335.15	51	46	68	1.903	1.53637	{'ott_len': 33, 'ott_percent': 170, 'ott_bw_up': 149, 'tps_qty_index': 64, 'max_risk_long': 52}
897	1.55	0.89	3.66	381	51	27	5840.81	442.21	237.34	61	65	70	2.033	1.44687	{'ott_len': 66, 'ott_percent': 78, 'ott_bw_up': 88, 'tps_qty_index': 84, 'max_risk_long': 67}
907	1.29	1.07	3.0	904	148	83	11240.6	1338.02	817.6	50	50	60	1.787	1.05652	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 105, 'tps_qty_index': 94, 'max_risk_long': 52}
908	1.0	2.79	3.24	113	9	9	1148.21	73.94	75.78	58	56	89	2.343	1.18492	{'ott_len': 40, 'ott_percent': 78, 'ott_bw_up': 147, 'tps_qty_index': 69, 'max_risk_long': 65}
910	1.35	5.84	4.5	238	25	15	2725.52	237.97	128.78	66	80	80	3.897	2.305	{'ott_len': 32, 'ott_percent': 103, 'ott_bw_up': 148, 'tps_qty_index': 110, 'max_risk_long': 91}
914	1.13	2.4	3.24	222	21	16	2623.38	172.32	139.71	58	57	75	2.257	1.06228	{'ott_len': 31, 'ott_percent': 103, 'ott_bw_up': 147, 'tps_qty_index': 42, 'max_risk_long': 65}
916	1.65	0.6	3.49	844	135	80	17124.09	1130.6	793.18	54	54	62	1.913	1.46289	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 108, 'tps_qty_index': 42, 'max_risk_long': 79}
918	2.01	2.92	3.02	246	21	21	3777.53	175.64	184.37	58	62	67	2.65	0.55651	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 147, 'tps_qty_index': 69, 'max_risk_long': 52}
919	1.5	3.73	3.56	280	30	20	5130.03	269.57	177.57	55	67	75	2.93	1.24133	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 11, 'max_risk_long': 65}
925	1.84	-0.48	4.87	279	30	22	5367.84	234.2	206.62	55	40	86	2.077	2.68284	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 138, 'tps_qty_index': 57, 'max_risk_long': 65}
926	1.43	1.21	3.39	618	96	51	11479.39	831.26	505.29	53	50	63	2.01	1.20017	{'ott_len': 33, 'ott_percent': 156, 'ott_bw_up': 134, 'tps_qty_index': 64, 'max_risk_long': 86}
936	1.02	5.39	3.08	93	10	10	852.06	88.14	84.06	48	90	70	3.163	2.18619	{'ott_len': 33, 'ott_percent': 78, 'ott_bw_up': 149, 'tps_qty_index': 65, 'max_risk_long': 50}
939	1.07	1.27	2.75	1158	191	107	10087.92	1674.54	1028.69	49	53	53	1.697	0.91768	{'ott_len': 31, 'ott_percent': 103, 'ott_bw_up': 88, 'tps_qty_index': 40, 'max_risk_long': 55}
940	1.05	5.07	3.46	102	9	11	949.82	77.72	93.37	47	89	73	3.193	2.02322	{'ott_len': 33, 'ott_percent': 78, 'ott_bw_up': 147, 'tps_qty_index': 69, 'max_risk_long': 49}
941	1.61	4.7	4.0	229	27	14	3065.63	266.39	120.99	60	74	86	3.437	1.6202	{'ott_len': 32, 'ott_percent': 103, 'ott_bw_up': 149, 'tps_qty_index': 98, 'max_risk_long': 91}
945	1.84	6.18	4.13	164	11	12	1919.45	95.43	102.95	65	91	92	4.05	2.17111	{'ott_len': 32, 'ott_percent': 103, 'ott_bw_up': 149, 'tps_qty_index': 110, 'max_risk_long': 52}
948	1.27	1.42	4.03	475	68	37	8132.37	591.94	371.96	51	46	68	2.24	1.552	{'ott_len': 33, 'ott_percent': 170, 'ott_bw_up': 149, 'tps_qty_index': 59, 'max_risk_long': 65}
949	2.02	3.51	3.42	242	22	20	4167.72	187.89	174.87	57	64	70	2.983	0.83548	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 77, 'max_risk_long': 55}
950	1.15	2.22	2.03	753	113	67	10748.65	1116.63	574.33	51	54	63	1.8	0.57088	{'ott_len': 29, 'ott_percent': 129, 'ott_bw_up': 116, 'tps_qty_index': 93, 'max_risk_long': 58}
951	1.62	3.94	3.33	287	34	21	4520.07	304.02	181.98	64	79	76	2.963	1.20268	{'ott_len': 34, 'ott_percent': 129, 'ott_bw_up': 147, 'tps_qty_index': 110, 'max_risk_long': 66}
953	1.79	-0.44	5.07	270	30	22	4775.76	235.51	208.33	59	43	86	2.14	2.77162	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 138, 'tps_qty_index': 37, 'max_risk_long': 65}
954	1.62	3.76	4.23	265	24	20	4109.59	204.63	175.06	64	83	80	3.203	1.3912	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 110, 'max_risk_long': 61}
955	1.32	0.87	3.46	783	117	69	11034.52	970.84	658.9	51	51	67	1.883	1.38385	{'ott_len': 33, 'ott_percent': 78, 'ott_bw_up': 88, 'tps_qty_index': 42, 'max_risk_long': 65}
969	1.46	3.01	3.84	283	32	20	4836.57	278.64	176.61	57	66	80	2.77	1.20801	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 41, 'max_risk_long': 67}
971	1.54	3.8	3.56	280	31	20	5076.12	281.68	175.66	53	61	75	2.967	1.24134	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 59, 'max_risk_long': 65}
979	2.04	-0.07	4.06	289	30	23	4826.51	244.43	208.23	60	57	78	2.01	2.06516	{'ott_len': 70, 'ott_percent': 78, 'ott_bw_up': 88, 'tps_qty_index': 72, 'max_risk_long': 53}
981	1.77	-0.13	5.11	273	30	22	4378.65	241.17	204.09	63	53	86	2.25	2.65277	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 138, 'tps_qty_index': 84, 'max_risk_long': 65}
982	1.36	-0.08	3.83	378	63	47	4470.24	502.4	454.92	49	46	68	1.703	1.97748	{'ott_len': 39, 'ott_percent': 78, 'ott_bw_up': 89, 'tps_qty_index': 77, 'max_risk_long': 34}
983	1.5	-0.92	3.85	256	26	19	3581.54	203.01	180.15	52	54	79	1.477	2.38509	{'ott_len': 68, 'ott_percent': 78, 'ott_bw_up': 88, 'tps_qty_index': 56, 'max_risk_long': 44}
985	1.46	2.85	3.05	144	18	13	1795.25	153.79	111.36	57	61	77	2.453	0.86604	{'ott_len': 33, 'ott_percent': 127, 'ott_bw_up': 171, 'tps_qty_index': 57, 'max_risk_long': 65}
991	1.63	1.83	4.25	350	43	25	5262.82	398.54	241.42	57	60	80	2.57	1.45836	{'ott_len': 68, 'ott_percent': 78, 'ott_bw_up': 88, 'tps_qty_index': 72, 'max_risk_long': 65}
994	1.34	1.98	3.22	397	51	34	6731.96	473.19	306.18	55	55	68	2.18	0.95582	{'ott_len': 33, 'ott_percent': 153, 'ott_bw_up': 149, 'tps_qty_index': 66, 'max_risk_long': 79}
1001	1.35	0.39	2.24	196	14	17	2124.06	110.56	146.36	56	50	65	1.327	0.92522	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 147, 'tps_qty_index': 65, 'max_risk_long': 45}
1004	1.16	5.65	3.72	112	10	11	1085.42	87.45	93.48	54	100	82	3.51	2.25235	{'ott_len': 33, 'ott_percent': 78, 'ott_bw_up': 147, 'tps_qty_index': 104, 'max_risk_long': 52}
1006	1.56	0.87	5.42	289	32	24	3733.3	269.66	220.12	67	62	88	2.617	2.45215	{'ott_len': 70, 'ott_percent': 129, 'ott_bw_up': 116, 'tps_qty_index': 110, 'max_risk_long': 65}
1007	1.03	5.71	4.15	127	8	12	1231.49	67.84	102.5	60	100	92	3.63	2.38294	{'ott_len': 31, 'ott_percent': 78, 'ott_bw_up': 147, 'tps_qty_index': 110, 'max_risk_long': 52}
1010	1.05	1.39	3.34	813	127	70	9455.41	1110.83	666.23	52	51	66	1.927	1.23573	{'ott_len': 33, 'ott_percent': 78, 'ott_bw_up': 88, 'tps_qty_index': 41, 'max_risk_long': 79}
1012	1.46	1.12	2.92	674	105	62	11124.45	897.88	554.36	51	46	65	1.833	0.95631	{'ott_len': 32, 'ott_percent': 129, 'ott_bw_up': 116, 'tps_qty_index': 93, 'max_risk_long': 52}
1013	1.7	2.41	2.57	212	18	19	2683.33	148.86	166.43	55	61	68	2.227	0.46307	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 11, 'max_risk_long': 50}
1031	1.44	1.77	3.32	861	141	81	11802.01	1300.84	763.71	58	61	64	2.177	1.00381	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 107, 'tps_qty_index': 110, 'max_risk_long': 61}
1033	1.94	0.17	3.97	214	22	19	2909.11	177.79	167.69	68	59	84	2.027	1.90148	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 138, 'tps_qty_index': 110, 'max_risk_long': 52}
1034	1.11	0.99	2.56	167	18	14	2257.06	142.69	123.94	55	50	71	1.553	0.87386	{'ott_len': 68, 'ott_percent': 78, 'ott_bw_up': 109, 'tps_qty_index': 18, 'max_risk_long': 74}
1035	1.27	2.49	2.69	50	4	7	501.63	32.02	59.94	62	50	100	2.15	0.76864	{'ott_len': 65, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 65, 'max_risk_long': 52}
1036	1.05	1.22	4.38	488	75	37	6506.85	601.67	352.77	62	63	78	2.217	1.87543	{'ott_len': 33, 'ott_percent': 170, 'ott_bw_up': 149, 'tps_qty_index': 110, 'max_risk_long': 88}
1037	1.24	5.35	3.48	145	18	11	1473.19	169.11	93.26	54	83	73	3.357	2.05777	{'ott_len': 33, 'ott_percent': 78, 'ott_bw_up': 149, 'tps_qty_index': 64, 'max_risk_long': 66}
1045	2.0	0.41	4.94	245	27	21	3979.14	221.15	193.92	64	56	86	2.45	2.29828	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 138, 'tps_qty_index': 84, 'max_risk_long': 57}
1050	1.7	3.88	3.87	288	30	21	4999.21	258.53	183.65	65	83	76	3.15	1.25575	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 147, 'tps_qty_index': 110, 'max_risk_long': 66}
1052	1.31	0.84	4.06	388	52	25	4566.58	456.07	239.85	55	65	68	2.07	1.73934	{'ott_len': 68, 'ott_percent': 78, 'ott_bw_up': 88, 'tps_qty_index': 18, 'max_risk_long': 98}
1053	1.38	3.69	3.57	143	17	13	1613.14	149.43	112.34	57	76	77	2.88	1.30042	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 171, 'tps_qty_index': 77, 'max_risk_long': 65}
