iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.ott_bw,parameters.tps_qty_index
100,v+7v,1.9178894300304845,100,6,2.05,100,2,3.05,32,25,46,987
100,st7M,0.3379291347878128,67,43,17.72,55,29,5.52,30,395,46,468
100,ss=9,0.33698915656480516,63,49,27.46,55,29,3.77,30,390,61,215
100,wk8m,0.3341161013164155,69,71,10.77,75,36,10.96,32,349,48,873
100,GkB;,0.3209418859093462,55,81,17.16,50,53,3.5,14,349,73,241
100,vi1],0.3114449676593229,47,55,23.45,54,22,7.49,32,339,32,671
100,tl_5,0.3084500553490688,60,94,24.03,61,55,9.94,31,354,142,165
100,eDPu,0.2860745773908655,80,15,7.77,80,5,2.68,25,152,106,975
100,GqmJ,0.2804619542261131,49,63,17.22,57,42,26.97,14,380,176,430
100,rd/a,0.2733309196134496,53,63,19.35,52,23,6.26,30,314,27,722
100,Rk^O,0.26653028845316834,76,72,17.23,66,51,7.79,18,349,140,494
100,@FXc,0.26644232660662365,70,17,5.79,87,8,10.99,11,162,125,747
100,ha0j,0.25657681414438055,52,88,13.27,54,51,5.51,26,299,29,835
100,i`UK,0.2486518568946482,55,81,14.26,54,50,-9.7,27,294,118,443
100,Q@M^,0.24772078509224024,58,17,7.23,62,8,9.6,18,132,99,684
100,E1=o,0.24621474605565238,66,39,6.54,68,16,4.54,13,56,61,899
100,dUWl,0.2441381218062578,65,114,12.31,55,85,-16.91,25,238,123,861
100,1@]^,0.2375787393257166,62,16,5.2,75,8,12.46,5,132,137,684
100,^g.S,0.2366270985394855,50,80,20.07,57,42,13.53,23,329,24,544
100,veLM,0.23591792386723515,58,60,10.82,67,37,8.91,32,319,97,468
100,hoft,0.23192650497650552,77,62,9.41,75,37,7.31,26,369,159,962
100,HZg*,0.21403259730210009,33,24,9.03,58,12,23.83,14,263,162,25
100,U;Cg,0.21354927931891676,49,55,8.38,50,24,13.91,19,106,75,797
100,v?L:,0.21065290242268012,71,7,5.15,100,2,3.46,32,126,97,228
100,Z?N>,0.2059252176093693,81,11,4.32,83,6,7.1,21,126,101,278
100,k/9P,0.20025635189780924,46,13,4.17,60,5,15.14,27,45,51,506
100,nlF;,0.1947335041751584,66,57,15.92,71,35,17.17,29,354,82,241
100,dH=e,0.19009234516483303,63,172,7.88,55,127,14.86,25,172,61,772
100,7DXP,0.18221912162529136,56,23,6.16,54,11,18.3,8,152,125,506
100,Rea6,0.17583093138930622,47,74,12.85,50,50,3.74,18,319,147,177
100,v+7v,1.9178894300304845,100,6,2.05,100,2,3.05,32,25,46,987
100,st7M,0.3379291347878128,67,43,17.72,55,29,5.52,30,395,46,468
100,ss=9,0.33698915656480516,63,49,27.46,55,29,3.77,30,390,61,215
100,wk8m,0.3341161013164155,69,71,10.77,75,36,10.96,32,349,48,873
100,GkB;,0.3209418859093462,55,81,17.16,50,53,3.5,14,349,73,241
100,vi1],0.3114449676593229,47,55,23.45,54,22,7.49,32,339,32,671
100,tl_5,0.3084500553490688,60,94,24.03,61,55,9.94,31,354,142,165
100,eDPu,0.2860745773908655,80,15,7.77,80,5,2.68,25,152,106,975
100,GqmJ,0.2804619542261131,49,63,17.22,57,42,26.97,14,380,176,430
100,rd/a,0.2733309196134496,53,63,19.35,52,23,6.26,30,314,27,722
100,Rk^O,0.26653028845316834,76,72,17.23,66,51,7.79,18,349,140,494
100,@FXc,0.26644232660662365,70,17,5.79,87,8,10.99,11,162,125,747
100,ha0j,0.25657681414438055,52,88,13.27,54,51,5.51,26,299,29,835
100,i`UK,0.2486518568946482,55,81,14.26,54,50,-9.7,27,294,118,443
100,Q@M^,0.24772078509224024,58,17,7.23,62,8,9.6,18,132,99,684
100,E1=o,0.24621474605565238,66,39,6.54,68,16,4.54,13,56,61,899
100,dUWl,0.2441381218062578,65,114,12.31,55,85,-16.91,25,238,123,861
100,1@]^,0.2375787393257166,62,16,5.2,75,8,12.46,5,132,137,684
100,^g.S,0.2366270985394855,50,80,20.07,57,42,13.53,23,329,24,544
100,veLM,0.23591792386723515,58,60,10.82,67,37,8.91,32,319,97,468
100,hoft,0.23192650497650552,77,62,9.41,75,37,7.31,26,369,159,962
100,HZg*,0.21403259730210009,33,24,9.03,58,12,23.83,14,263,162,25
100,U;Cg,0.21354927931891676,49,55,8.38,50,24,13.91,19,106,75,797
100,v?L:,0.21065290242268012,71,7,5.15,100,2,3.46,32,126,97,228
100,Z?N>,0.2059252176093693,81,11,4.32,83,6,7.1,21,126,101,278
100,k/9P,0.20025635189780924,46,13,4.17,60,5,15.14,27,45,51,506
100,nlF;,0.1947335041751584,66,57,15.92,71,35,17.17,29,354,82,241
100,dH=e,0.19009234516483303,63,172,7.88,55,127,14.86,25,172,61,772
100,7DXP,0.18221912162529136,56,23,6.16,54,11,18.3,8,152,125,506
100,Rea6,0.17583093138930622,47,74,12.85,50,50,3.74,18,319,147,177
200,v+7v,1.9178894300304845,100,6,2.05,100,2,3.05,32,25,46,987
200,smB^,0.438771081170752,51,52,20.28,65,29,18.76,30,359,73,684
200,qmB^,0.438771081170752,51,52,20.28,65,29,18.76,30,359,73,684
200,st7M,0.3379291347878128,67,43,17.72,55,29,5.52,30,395,46,468
200,wk8m,0.3341161013164155,69,71,10.77,75,36,10.96,32,349,48,873
200,GkB;,0.3209418859093462,55,81,17.16,50,53,3.5,14,349,73,241
200,vi1],0.3114449676593229,47,55,23.45,54,22,7.49,32,339,32,671
200,tl_5,0.3084500553490688,60,94,24.03,61,55,9.94,31,354,142,165
200,GqmJ,0.2804619542261131,49,63,17.22,57,42,26.97,14,380,176,430
200,rd/a,0.2733309196134496,53,63,19.35,52,23,6.26,30,314,27,722
200,Rk^O,0.26653028845316834,76,72,17.23,66,51,7.79,18,349,140,494
200,@FXc,0.26644232660662365,70,17,5.79,87,8,10.99,11,162,125,747
200,ha0j,0.25657681414438055,52,88,13.27,54,51,5.51,26,299,29,835
200,Q@M^,0.24772078509224024,58,17,7.23,62,8,9.6,18,132,99,684
200,E1=o,0.24621474605565238,66,39,6.54,68,16,4.54,13,56,61,899
200,dUWl,0.2441381218062578,65,114,12.31,55,85,-16.91,25,238,123,861
200,1@]^,0.2375787393257166,62,16,5.2,75,8,12.46,5,132,137,684
200,hoft,0.23192650497650552,77,62,9.41,75,37,7.31,26,369,159,962
200,U;Cg,0.21354927931891676,49,55,8.38,50,24,13.91,19,106,75,797
200,v?L:,0.21065290242268012,71,7,5.15,100,2,3.46,32,126,97,228
200,Z?N>,0.2059252176093693,81,11,4.32,83,6,7.1,21,126,101,278
200,k/9P,0.20025635189780924,46,13,4.17,60,5,15.14,27,45,51,506
200,nlF;,0.1947335041751584,66,57,15.92,71,35,17.17,29,354,82,241
200,7DXP,0.18221912162529136,56,23,6.16,54,11,18.3,8,152,125,506
200,Rea6,0.17583093138930622,47,74,12.85,50,50,3.74,18,319,147,177
200,wa8(,0.1753554697005997,49,73,33.95,43,41,-4.27,32,299,48,0
200,d0>_,0.17236904626903934,62,8,2.55,100,3,6.94,25,51,63,696
200,wq8^,0.17126252728695493,60,43,25.73,48,29,5.72,32,380,48,684
200,2vGu,0.1629396773132757,54,114,4.19,50,64,-3.72,6,405,85,975
200,wc8^,0.15738361445775437,50,61,12.5,48,31,-12.7,32,309,48,684
300,v+7v,1.9178894300304845,100,6,2.05,100,2,3.05,32,25,46,987
300,sm7W,0.5439076204493064,54,53,30.62,53,26,13.92,30,359,46,595
300,smB^,0.438771081170752,51,52,20.28,65,29,18.76,30,359,73,684
300,qmB^,0.438771081170752,51,52,20.28,65,29,18.76,30,359,73,684
300,wBN^,0.4105702689513569,60,10,4.89,100,3,6.87,32,142,101,684
300,wv8^,0.3781395114932586,57,42,27.31,54,24,-2.76,32,405,48,684
300,w28^,0.3437433212977641,55,40,12.59,56,16,12.54,32,61,48,684
300,st7M,0.3379291347878128,67,43,17.72,55,29,5.52,30,395,46,468
300,sm?c,0.33589514296888745,62,50,16.19,62,27,13.08,30,359,65,747
300,wk8m,0.3341161013164155,69,71,10.77,75,36,10.96,32,349,48,873
300,GkB;,0.3209418859093462,55,81,17.16,50,53,3.5,14,349,73,241
300,wBL^,0.31776819979738674,66,12,8.33,75,4,6.33,32,142,97,684
300,vi1],0.3114449676593229,47,55,23.45,54,22,7.49,32,339,32,671
300,tl_5,0.3084500553490688,60,94,24.03,61,55,9.94,31,354,142,165
300,rd/a,0.2733309196134496,53,63,19.35,52,23,6.26,30,314,27,722
300,@FXc,0.26644232660662365,70,17,5.79,87,8,10.99,11,162,125,747
300,ha0j,0.25657681414438055,52,88,13.27,54,51,5.51,26,299,29,835
300,E1=o,0.24621474605565238,66,39,6.54,68,16,4.54,13,56,61,899
300,dUWl,0.2441381218062578,65,114,12.31,55,85,-16.91,25,238,123,861
300,1@]^,0.2375787393257166,62,16,5.2,75,8,12.46,5,132,137,684
300,hoft,0.23192650497650552,77,62,9.41,75,37,7.31,26,369,159,962
300,Mm7c,0.22846128244254152,52,82,10.16,51,41,5.38,16,359,46,747
300,v?L:,0.21065290242268012,71,7,5.15,100,2,3.46,32,126,97,228
300,k/9P,0.20025635189780924,46,13,4.17,60,5,15.14,27,45,51,506
300,wfN^,0.19897742188838216,51,56,16.74,60,38,11.21,32,324,101,684
300,7DXP,0.18221912162529136,56,23,6.16,54,11,18.3,8,152,125,506
300,Rea6,0.17583093138930622,47,74,12.85,50,50,3.74,18,319,147,177
300,wa8(,0.1753554697005997,49,73,33.95,43,41,-4.27,32,299,48,0
300,d0>_,0.17236904626903934,62,8,2.55,100,3,6.94,25,51,63,696
300,wq8^,0.17126252728695493,60,43,25.73,48,29,5.72,32,380,48,684
100,C)0[,1.284717390367518,52,63,9.41,54,31,6.54,19,14,49,646
100,HRBB,0.6948232571648328,52,17,10.81,77,9,10.21,22,169,138,329
100,Kf/+,0.5026140320475933,42,73,19.71,46,47,5.93,24,245,45,38
100,rL<-,0.4433242430740624,52,17,12.85,66,9,7.99,49,147,109,63
100,9A@I,0.43675735906503554,58,12,5.42,83,6,7.31,13,105,128,418
100,",jO2",0.4077917041557101,50,16,6.38,60,10,11.32,5,261,203,127
100,sm:p,0.3965990696750546,81,22,12.29,47,19,-4.65,49,272,99,911
100,lJ:H,0.37055406095651044,53,28,8.88,58,17,6.61,45,139,99,405
100,Z6:k,0.35648256968052616,70,10,2.38,100,4,5.72,34,63,99,848
100,PuN1,0.3407857187271402,56,16,8.01,75,8,12.83,27,302,198,114
100,j_04,0.33536733823288867,50,46,17.16,48,31,-7.74,44,219,49,152
100,kb;j,0.3300901185156095,52,44,8.73,39,38,-9.32,44,230,104,835
100,a`EI,0.3190060920692769,50,14,5.77,77,9,9.08,38,223,153,418
100,Yn18,0.3137012101715662,52,44,14.84,38,21,-12.73,33,276,54,203
100,/SJe,0.3132880651031497,87,8,3.51,83,6,4.4,6,173,178,772
100,uW8>,0.3061807336781614,52,59,12.11,47,48,-1.98,51,188,89,278
100,Cl>Y,0.30484273108267596,51,76,10.89,39,53,-12.46,19,268,119,620
100,NA?O,0.30223934985912976,83,6,3.18,100,3,3.99,26,105,124,494
100,"W,0T",0.29469749814302076,48,39,5.22,47,19,8.09,32,25,49,557
100,"W,0T",0.29469749814302076,48,39,5.22,47,19,8.09,32,25,49,557
100,NjMG,0.2808497608125212,60,10,4.91,83,6,9.86,26,261,193,392
100,*ZIB,0.2520745124987339,57,19,3.85,72,11,12.63,3,200,173,329
100,",cM,",0.23333517931942546,50,16,4.69,66,9,10.16,5,234,193,51
100,X`1F,0.2085654131523252,50,54,16.05,42,42,-0.21,32,223,54,380
100,^p+.,0.20643959878941767,38,39,10.26,43,23,-1.59,36,283,25,76
100,q)/P,0.2051930373455215,40,25,3.25,80,10,11.32,48,14,45,506
100,I/5[,0.19179287641816398,52,25,3.4,77,9,6.64,23,37,74,646
100,CNC\,0.19010865184935968,64,14,3.65,100,6,6.43,19,154,143,658
100,+oP+,0.18932528630676887,42,19,3.54,54,11,11.63,4,280,207,38
100,f\)O,0.17938508675896514,54,61,8.58,40,44,-4.19,41,207,15,494
200,C)0[,1.284717390367518,52,63,9.41,54,31,6.54,19,14,49,646
200,HRBB,0.6948232571648328,52,17,10.81,77,9,10.21,22,169,138,329
200,Kf/+,0.5026140320475933,42,73,19.71,46,47,5.93,24,245,45,38
200,rL<-,0.4433242430740624,52,17,12.85,66,9,7.99,49,147,109,63
200,9A@I,0.43675735906503554,58,12,5.42,83,6,7.31,13,105,128,418
200,",jO2",0.4077917041557101,50,16,6.38,60,10,11.32,5,261,203,127
200,sm:p,0.3965990696750546,81,22,12.29,47,19,-4.65,49,272,99,911
200,lJ:H,0.37055406095651044,53,28,8.88,58,17,6.61,45,139,99,405
200,Z6:k,0.35648256968052616,70,10,2.38,100,4,5.72,34,63,99,848
200,;q2I,0.3379092912420377,55,80,26.33,48,56,-5.02,14,287,59,418
200,a`EI,0.3190060920692769,50,14,5.77,77,9,9.08,38,223,153,418
200,Yn18,0.3137012101715662,52,44,14.84,38,21,-12.73,33,276,54,203
200,uW8>,0.3061807336781614,52,59,12.11,47,48,-1.98,51,188,89,278
200,Cl>Y,0.30484273108267596,51,76,10.89,39,53,-12.46,19,268,119,620
200,NA?O,0.30223934985912976,83,6,3.18,100,3,3.99,26,105,124,494
200,"W,0T",0.29469749814302076,48,39,5.22,47,19,8.09,32,25,49,557
200,"W,0T",0.29469749814302076,48,39,5.22,47,19,8.09,32,25,49,557
200,NjMG,0.2808497608125212,60,10,4.91,83,6,9.86,26,261,193,392
200,*ZIB,0.2520745124987339,57,19,3.85,72,11,12.63,3,200,173,329
200,X`1F,0.2085654131523252,50,54,16.05,42,42,-0.21,32,223,54,380
200,^p+.,0.20643959878941767,38,39,10.26,43,23,-1.59,36,283,25,76
200,q)/P,0.2051930373455215,40,25,3.25,80,10,11.32,48,14,45,506
200,I/5[,0.19179287641816398,52,25,3.4,77,9,6.64,23,37,74,646
200,CNC\,0.19010865184935968,64,14,3.65,100,6,6.43,19,154,143,658
200,+oP+,0.18932528630676887,42,19,3.54,54,11,11.63,4,280,207,38
200,;/2I,0.18214383508862064,48,85,8.75,33,51,-2.64,14,37,59,418
200,f\)O,0.17938508675896514,54,61,8.58,40,44,-4.19,41,207,15,494
200,KME0,0.17008301481807125,66,6,2.17,100,2,5.97,24,151,153,101
200,>8:Z,0.16373044160068223,50,20,2.58,63,11,6.23,16,71,99,633
200,\oCP,0.1635516435460799,45,44,6.69,31,32,-12.56,35,280,143,506
300,C)0[,1.284717390367518,52,63,9.41,54,31,6.54,19,14,49,646
300,HRBB,0.6948232571648328,52,17,10.81,77,9,10.21,22,169,138,329
300,rL<-,0.4433242430740624,52,17,12.85,66,9,7.99,49,147,109,63
300,9A@I,0.43675735906503554,58,12,5.42,83,6,7.31,13,105,128,418
300,",jO2",0.4077917041557101,50,16,6.38,60,10,11.32,5,261,203,127
300,sm:p,0.3965990696750546,81,22,12.29,47,19,-4.65,49,272,99,911
300,lJ:H,0.37055406095651044,53,28,8.88,58,17,6.61,45,139,99,405
300,Z6:k,0.35648256968052616,70,10,2.38,100,4,5.72,34,63,99,848
300,;q2I,0.3379092912420377,55,80,26.33,48,56,-5.02,14,287,59,418
300,p(.b,0.3216784687722509,55,29,3.64,66,12,5.46,48,10,40,734
300,a`EI,0.3190060920692769,50,14,5.77,77,9,9.08,38,223,153,418
300,Yn18,0.3137012101715662,52,44,14.84,38,21,-12.73,33,276,54,203
300,uW8>,0.3061807336781614,52,59,12.11,47,48,-1.98,51,188,89,278
300,Cl>Y,0.30484273108267596,51,76,10.89,39,53,-12.46,19,268,119,620
300,NA?O,0.30223934985912976,83,6,3.18,100,3,3.99,26,105,124,494
300,"W,0T",0.29469749814302076,48,39,5.22,47,19,8.09,32,25,49,557
300,"W,0T",0.29469749814302076,48,39,5.22,47,19,8.09,32,25,49,557
300,*ZIB,0.2520745124987339,57,19,3.85,72,11,12.63,3,200,173,329
300,k-.N,0.22716723354132,49,51,4.61,45,31,2.54,44,29,40,481
300,^p+.,0.20643959878941767,38,39,10.26,43,23,-1.59,36,283,25,76
300,q)/P,0.2051930373455215,40,25,3.25,80,10,11.32,48,14,45,506
300,I/5[,0.19179287641816398,52,25,3.4,77,9,6.64,23,37,74,646
300,+oP+,0.18932528630676887,42,19,3.54,54,11,11.63,4,280,207,38
300,f\)O,0.17938508675896514,54,61,8.58,40,44,-4.19,41,207,15,494
300,KME0,0.17008301481807125,66,6,2.17,100,2,5.97,24,151,153,101
300,>8:Z,0.16373044160068223,50,20,2.58,63,11,6.23,16,71,99,633
300,\oCP,0.1635516435460799,45,44,6.69,31,32,-12.56,35,280,143,506
300,kp.B,0.1499469134345329,69,26,28.23,41,12,-3.37,44,283,40,329
300,X+1Y,0.14949135666231775,53,28,2.73,77,9,7.25,32,21,54,620
300,pn.l,0.14057348089315239,83,24,6.11,47,17,-3.17,48,276,40,861
400,C)0[,1.284717390367518,52,63,9.41,54,31,6.54,19,14,49,646
400,rL<-,0.4433242430740624,52,17,12.85,66,9,7.99,49,147,109,63
400,",jO2",0.4077917041557101,50,16,6.38,60,10,11.32,5,261,203,127
400,sm:p,0.3965990696750546,81,22,12.29,47,19,-4.65,49,272,99,911
400,pp(t,0.37215638389231254,84,25,8.82,33,6,-1.2,48,283,10,962
400,lJ:H,0.37055406095651044,53,28,8.88,58,17,6.61,45,139,99,405
400,Z6:k,0.35648256968052616,70,10,2.38,100,4,5.72,34,63,99,848
400,p(.b,0.3216784687722509,55,29,3.64,66,12,5.46,48,10,40,734
400,Yn18,0.3137012101715662,52,44,14.84,38,21,-12.73,33,276,54,203
400,Cl>Y,0.30484273108267596,51,76,10.89,39,53,-12.46,19,268,119,620
400,NA?O,0.30223934985912976,83,6,3.18,100,3,3.99,26,105,124,494
400,"W,0T",0.29469749814302076,48,39,5.22,47,19,8.09,32,25,49,557
400,p1.<,0.2633329833384962,44,84,5.25,44,52,4.74,48,44,40,253
400,pp.1,0.24980531474791676,57,33,14.34,0,8,-21.02,48,283,40,114
400,k-.N,0.22716723354132,49,51,4.61,45,31,2.54,44,29,40,481
400,^p+.,0.20643959878941767,38,39,10.26,43,23,-1.59,36,283,25,76
400,q)/P,0.2051930373455215,40,25,3.25,80,10,11.32,48,14,45,506
400,+oP+,0.18932528630676887,42,19,3.54,54,11,11.63,4,280,207,38
400,f\)O,0.17938508675896514,54,61,8.58,40,44,-4.19,41,207,15,494
400,>8:Z,0.16373044160068223,50,20,2.58,63,11,6.23,16,71,99,633
400,\oCP,0.1635516435460799,45,44,6.69,31,32,-12.56,35,280,143,506
400,ppJt,0.15540994144117884,69,13,3.26,88,9,6.49,48,283,178,962
400,p1.H,0.15524298042216347,45,84,3.33,42,52,4.59,48,44,40,405
400,X+1Y,0.14949135666231775,53,28,2.73,77,9,7.25,32,21,54,620
400,pf:Q,0.14895882101751767,52,34,22.21,40,30,-1.46,48,245,99,519
400,pn.l,0.14057348089315239,83,24,6.11,47,17,-3.17,48,276,40,861
400,p1.3,0.1401871057979236,41,84,2.95,42,52,6.78,48,44,40,139
400,dU5^,0.1400180648722268,49,63,6.51,47,51,-8.55,40,181,74,684
400,pf>Q,0.13291366680035213,51,39,17.13,38,31,-18.09,48,245,119,519
400,pf.P,0.13160144831478113,45,37,6.98,38,26,-9.91,48,245,40,506
500,C)0[,1.284717390367518,52,63,9.41,54,31,6.54,19,14,49,646
500,gm.c,0.506845203330483,58,34,15.1,43,16,-9.65,42,272,40,747
500,pC:l,0.49805178976319003,75,12,6.01,85,7,5.15,48,113,99,861
500,rL<-,0.4433242430740624,52,17,12.85,66,9,7.99,49,147,109,63
500,",jO2",0.4077917041557101,50,16,6.38,60,10,11.32,5,261,203,127
500,sm:p,0.3965990696750546,81,22,12.29,47,19,-4.65,49,272,99,911
500,pp(t,0.37215638389231254,84,25,8.82,33,6,-1.2,48,283,10,962
500,lJ:H,0.37055406095651044,53,28,8.88,58,17,6.61,45,139,99,405
500,Z6:k,0.35648256968052616,70,10,2.38,100,4,5.72,34,63,99,848
500,p10F,0.33295416585519594,43,37,6.78,52,19,9.94,48,44,49,380
500,p(.b,0.3216784687722509,55,29,3.64,66,12,5.46,48,10,40,734
500,Yn18,0.3137012101715662,52,44,14.84,38,21,-12.73,33,276,54,203
500,Cl>Y,0.30484273108267596,51,76,10.89,39,53,-12.46,19,268,119,620
500,NA?O,0.30223934985912976,83,6,3.18,100,3,3.99,26,105,124,494
500,VM?s,0.296266714378473,77,18,5.83,100,6,5.21,31,151,124,949
500,p1.<,0.2633329833384962,44,84,5.25,44,52,4.74,48,44,40,253
500,pp.1,0.24980531474791676,57,33,14.34,0,8,-21.02,48,283,40,114
500,k-.N,0.22716723354132,49,51,4.61,45,31,2.54,44,29,40,481
500,p1.N,0.21838549552385844,47,84,4.35,44,52,3.17,48,44,40,481
500,q)/P,0.2051930373455215,40,25,3.25,80,10,11.32,48,14,45,506
500,+oP+,0.18932528630676887,42,19,3.54,54,11,11.63,4,280,207,38
500,f\)O,0.17938508675896514,54,61,8.58,40,44,-4.19,41,207,15,494
500,\oCP,0.1635516435460799,45,44,6.69,31,32,-12.56,35,280,143,506
500,ppJt,0.15540994144117884,69,13,3.26,88,9,6.49,48,283,178,962
500,p1.H,0.15524298042216347,45,84,3.33,42,52,4.59,48,44,40,405
500,X+1Y,0.14949135666231775,53,28,2.73,77,9,7.25,32,21,54,620
500,pf:Q,0.14895882101751767,52,34,22.21,40,30,-1.46,48,245,99,519
500,pn.l,0.14057348089315239,83,24,6.11,47,17,-3.17,48,276,40,861
500,p1.3,0.1401871057979236,41,84,2.95,42,52,6.78,48,44,40,139
500,pf>Q,0.13291366680035213,51,39,17.13,38,31,-18.09,48,245,119,519
600,C)0[,1.284717390367518,52,63,9.41,54,31,6.54,19,14,49,646
