iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.ott_bw,parameters.tps_qty_index,parameters.max_risk
90,_hGO(,0.9258026627664637,60,10,12.62,20,5,-3.11,36,312,107,62,20
90,ZWM3+,0.8937350473261478,70,17,24.51,30,13,-3.07,33,269,116,17,22
90,Jvl.0,0.8140932378289468,66,15,26.15,23,13,-9.99,24,347,163,9,25
90,Hg`)9,0.7920373979841647,56,32,27.79,31,32,0.89,23,309,145,2,31
90,4*bbP,0.7214200587725282,53,32,16.38,41,39,-12.9,12,155,148,92,45
90,wVUUL,0.7204031751009186,51,31,23.48,40,37,4.23,50,266,128,71,43
90,_\FE0,0.6652006839515014,61,18,15.99,34,23,-6.79,36,282,106,46,25
90,NIh\K,0.6365180371894612,64,17,14.27,36,25,-18.07,27,234,157,82,42
90,ulC8J,0.6151370610152688,55,27,22.54,26,34,-26.31,49,322,101,25,42
90,MoK)P,0.6134974995296024,50,38,27.76,36,47,-11.92,26,330,113,2,45
90,VZ?7V,0.6040599332740689,57,38,22.26,32,49,-12.97,31,277,95,24,49
90,"SiS.,",0.5633151122684881,50,18,13.95,18,11,-7.23,29,315,125,9,23
90,n^=+K,0.5308231966460268,51,31,19.5,32,37,-14.4,45,287,92,5,42
90,NkKs[,0.5307451912420682,60,38,6.13,48,47,-18.6,27,320,113,119,52
90,HTXk+,0.529188477638684,60,23,9.78,33,21,-7.39,23,261,133,106,22
90,thJv8,0.4991048189995931,63,19,5.7,35,17,-5.44,48,312,112,123,30
90,0OW*D,0.48875004684729456,44,59,23.23,35,78,-24.31,10,249,131,3,38
90,2>g0Y,0.4862835539438587,58,36,18.06,43,60,-30.58,11,206,156,13,51
90,1R[:>,0.48267830437132003,55,56,18.91,41,70,-18.32,10,256,137,28,34
90,m-8)i,0.47757362698518385,46,47,26.14,33,53,-25.72,44,163,84,2,61
90,E[XN3,0.46935756485251,50,34,15.0,44,34,5.32,22,279,133,60,27
90,`wh:t,0.4692332653308456,62,29,19.04,44,36,-17.04,37,350,157,28,68
90,ZU:ZB,0.4595954393870886,55,34,10.61,41,43,-9.15,33,264,87,79,36
90,LbMRw,0.4593627828317744,61,36,18.33,46,47,-12.13,26,297,116,66,70
90,YoVE0,0.45669070226918523,57,19,13.67,30,10,-4.64,33,330,130,46,25
90,Xhc?p,0.45397523917328203,52,34,20.65,41,43,-17.87,32,312,150,36,66
90,VRH)d,0.449821393019177,52,36,21.27,30,49,-12.4,31,256,109,2,58
90,"1Ei,r",0.4442430064342122,57,40,19.12,39,66,-29.77,10,223,159,6,67
90,deX6-,0.4092926204901738,47,17,14.31,33,6,-2.22,39,304,133,22,23
90,V[<us,0.40842435011210626,59,37,7.16,41,51,-16.55,31,279,90,122,67
90,_hGO(,0.9258026627664637,60,10,12.62,20,5,-3.11,36,312,107,62,20
90,ZWM3+,0.8937350473261478,70,17,24.51,30,13,-3.07,33,269,116,17,22
90,Jvl.0,0.8140932378289468,66,15,26.15,23,13,-9.99,24,347,163,9,25
90,Hg`)9,0.7920373979841647,56,32,27.79,31,32,0.89,23,309,145,2,31
90,4*bbP,0.7214200587725282,53,32,16.38,41,39,-12.9,12,155,148,92,45
90,wVUUL,0.7204031751009186,51,31,23.48,40,37,4.23,50,266,128,71,43
90,_\FE0,0.6652006839515014,61,18,15.99,34,23,-6.79,36,282,106,46,25
90,NIh\K,0.6365180371894612,64,17,14.27,36,25,-18.07,27,234,157,82,42
90,ulC8J,0.6151370610152688,55,27,22.54,26,34,-26.31,49,322,101,25,42
90,MoK)P,0.6134974995296024,50,38,27.76,36,47,-11.92,26,330,113,2,45
90,VZ?7V,0.6040599332740689,57,38,22.26,32,49,-12.97,31,277,95,24,49
90,"SiS.,",0.5633151122684881,50,18,13.95,18,11,-7.23,29,315,125,9,23
90,n^=+K,0.5308231966460268,51,31,19.5,32,37,-14.4,45,287,92,5,42
90,NkKs[,0.5307451912420682,60,38,6.13,48,47,-18.6,27,320,113,119,52
90,HTXk+,0.529188477638684,60,23,9.78,33,21,-7.39,23,261,133,106,22
90,thJv8,0.4991048189995931,63,19,5.7,35,17,-5.44,48,312,112,123,30
90,0OW*D,0.48875004684729456,44,59,23.23,35,78,-24.31,10,249,131,3,38
90,2>g0Y,0.4862835539438587,58,36,18.06,43,60,-30.58,11,206,156,13,51
90,1R[:>,0.48267830437132003,55,56,18.91,41,70,-18.32,10,256,137,28,34
90,m-8)i,0.47757362698518385,46,47,26.14,33,53,-25.72,44,163,84,2,61
90,E[XN3,0.46935756485251,50,34,15.0,44,34,5.32,22,279,133,60,27
90,`wh:t,0.4692332653308456,62,29,19.04,44,36,-17.04,37,350,157,28,68
90,ZU:ZB,0.4595954393870886,55,34,10.61,41,43,-9.15,33,264,87,79,36
90,LbMRw,0.4593627828317744,61,36,18.33,46,47,-12.13,26,297,116,66,70
90,YoVE0,0.45669070226918523,57,19,13.67,30,10,-4.64,33,330,130,46,25
90,Xhc?p,0.45397523917328203,52,34,20.65,41,43,-17.87,32,312,150,36,66
90,VRH)d,0.449821393019177,52,36,21.27,30,49,-12.4,31,256,109,2,58
90,"1Ei,r",0.4442430064342122,57,40,19.12,39,66,-29.77,10,223,159,6,67
90,deX6-,0.4092926204901738,47,17,14.31,33,6,-2.22,39,304,133,22,23
90,V[<us,0.40842435011210626,59,37,7.16,41,51,-16.55,31,279,90,122,67
180,_hGO(,0.9258026627664637,60,10,12.62,20,5,-3.11,36,312,107,62,20
180,ZWM3+,0.8937350473261478,70,17,24.51,30,13,-3.07,33,269,116,17,22
180,Hg`)9,0.7920373979841647,56,32,27.79,31,32,0.89,23,309,145,2,31
180,4*bbP,0.7214200587725282,53,32,16.38,41,39,-12.9,12,155,148,92,45
180,wVUUL,0.7204031751009186,51,31,23.48,40,37,4.23,50,266,128,71,43
180,_\FE0,0.6652006839515014,61,18,15.99,34,23,-6.79,36,282,106,46,25
180,ulC8J,0.6151370610152688,55,27,22.54,26,34,-26.31,49,322,101,25,42
180,MoK)P,0.6134974995296024,50,38,27.76,36,47,-11.92,26,330,113,2,45
180,VZ?7V,0.6040599332740689,57,38,22.26,32,49,-12.97,31,277,95,24,49
180,"SiS.,",0.5633151122684881,50,18,13.95,18,11,-7.23,29,315,125,9,23
180,n^=+K,0.5308231966460268,51,31,19.5,32,37,-14.4,45,287,92,5,42
180,HTXk+,0.529188477638684,60,23,9.78,33,21,-7.39,23,261,133,106,22
180,thJv8,0.4991048189995931,63,19,5.7,35,17,-5.44,48,312,112,123,30
180,2>g0Y,0.4862835539438587,58,36,18.06,43,60,-30.58,11,206,156,13,51
180,1R[:>,0.48267830437132003,55,56,18.91,41,70,-18.32,10,256,137,28,34
180,m-8)i,0.47757362698518385,46,47,26.14,33,53,-25.72,44,163,84,2,61
180,`wh:t,0.4692332653308456,62,29,19.04,44,36,-17.04,37,350,157,28,68
180,ZU:ZB,0.4595954393870886,55,34,10.61,41,43,-9.15,33,264,87,79,36
180,LbMRw,0.4593627828317744,61,36,18.33,46,47,-12.13,26,297,116,66,70
180,YoVE0,0.45669070226918523,57,19,13.67,30,10,-4.64,33,330,130,46,25
180,Xhc?p,0.45397523917328203,52,34,20.65,41,43,-17.87,32,312,150,36,66
180,"1Ei,r",0.4442430064342122,57,40,19.12,39,66,-29.77,10,223,159,6,67
180,deX6-,0.4092926204901738,47,17,14.31,33,6,-2.22,39,304,133,22,23
180,V[<us,0.40842435011210626,59,37,7.16,41,51,-16.55,31,279,90,122,67
180,OrD<b,0.4017786491804493,53,39,14.41,41,48,-24.34,27,337,103,32,57
180,P`=WX,0.3742714017694666,53,39,12.96,33,53,-14.55,28,292,92,74,50
180,*e\5n,0.36155535615199996,48,66,17.36,36,94,-30.95,6,304,139,21,64
180,3;av<,0.35837667134520707,54,37,6.81,51,45,-11.54,11,198,147,123,33
180,KegL`,0.3538909284339239,47,38,16.38,31,47,-19.92,25,304,156,57,55
180,hQ*LV,0.34368512227054226,42,40,11.62,32,50,-12.24,41,254,63,57,49
270,_hGO(,0.9258026627664637,60,10,12.62,20,5,-3.11,36,312,107,62,20
270,Hg`)9,0.7920373979841647,56,32,27.79,31,32,0.89,23,309,145,2,31
270,4*bbP,0.7214200587725282,53,32,16.38,41,39,-12.9,12,155,148,92,45
270,wVUUL,0.7204031751009186,51,31,23.48,40,37,4.23,50,266,128,71,43
270,_\FE0,0.6652006839515014,61,18,15.99,34,23,-6.79,36,282,106,46,25
270,ulC8J,0.6151370610152688,55,27,22.54,26,34,-26.31,49,322,101,25,42
270,MoK)P,0.6134974995296024,50,38,27.76,36,47,-11.92,26,330,113,2,45
270,VZ?7V,0.6040599332740689,57,38,22.26,32,49,-12.97,31,277,95,24,49
270,"SiS.,",0.5633151122684881,50,18,13.95,18,11,-7.23,29,315,125,9,23
270,n^=+K,0.5308231966460268,51,31,19.5,32,37,-14.4,45,287,92,5,42
270,HTXk+,0.529188477638684,60,23,9.78,33,21,-7.39,23,261,133,106,22
270,thJv8,0.4991048189995931,63,19,5.7,35,17,-5.44,48,312,112,123,30
270,2>g0Y,0.4862835539438587,58,36,18.06,43,60,-30.58,11,206,156,13,51
270,1R[:>,0.48267830437132003,55,56,18.91,41,70,-18.32,10,256,137,28,34
270,m-8)i,0.47757362698518385,46,47,26.14,33,53,-25.72,44,163,84,2,61
270,`wh:t,0.4692332653308456,62,29,19.04,44,36,-17.04,37,350,157,28,68
270,ZU:ZB,0.4595954393870886,55,34,10.61,41,43,-9.15,33,264,87,79,36
270,LbMRw,0.4593627828317744,61,36,18.33,46,47,-12.13,26,297,116,66,70
270,YoVE0,0.45669070226918523,57,19,13.67,30,10,-4.64,33,330,130,46,25
270,Xhc?p,0.45397523917328203,52,34,20.65,41,43,-17.87,32,312,150,36,66
270,"1Ei,r",0.4442430064342122,57,40,19.12,39,66,-29.77,10,223,159,6,67
270,deX6-,0.4092926204901738,47,17,14.31,33,6,-2.22,39,304,133,22,23
270,V[<us,0.40842435011210626,59,37,7.16,41,51,-16.55,31,279,90,122,67
270,OrD<b,0.4017786491804493,53,39,14.41,41,48,-24.34,27,337,103,32,57
270,*e\5n,0.36155535615199996,48,66,17.36,36,94,-30.95,6,304,139,21,64
270,KegL`,0.3538909284339239,47,38,16.38,31,47,-19.92,25,304,156,57,55
270,unX-o,0.34073151474586866,60,25,17.94,47,34,-4.3,49,327,133,8,65
270,aLRCB,0.33830803682814203,53,39,7.84,52,36,-5.25,37,241,124,43,36
270,pR*Eb,0.3372717742433562,55,36,10.32,34,47,-22.25,46,256,63,46,57
270,ko8Na,0.3365753585157337,48,35,12.09,30,42,-21.53,43,330,84,60,56
360,_hGO(,0.9258026627664637,60,10,12.62,20,5,-3.11,36,312,107,62,20
360,Hg`)9,0.7920373979841647,56,32,27.79,31,32,0.89,23,309,145,2,31
360,4*bbP,0.7214200587725282,53,32,16.38,41,39,-12.9,12,155,148,92,45
360,wVUUL,0.7204031751009186,51,31,23.48,40,37,4.23,50,266,128,71,43
360,_\FE0,0.6652006839515014,61,18,15.99,34,23,-6.79,36,282,106,46,25
360,ulC8J,0.6151370610152688,55,27,22.54,26,34,-26.31,49,322,101,25,42
360,MoK)P,0.6134974995296024,50,38,27.76,36,47,-11.92,26,330,113,2,45
360,VZ?7V,0.6040599332740689,57,38,22.26,32,49,-12.97,31,277,95,24,49
360,"SiS.,",0.5633151122684881,50,18,13.95,18,11,-7.23,29,315,125,9,23
360,HTXk+,0.529188477638684,60,23,9.78,33,21,-7.39,23,261,133,106,22
360,thJv8,0.4991048189995931,63,19,5.7,35,17,-5.44,48,312,112,123,30
360,2>g0Y,0.4862835539438587,58,36,18.06,43,60,-30.58,11,206,156,13,51
360,1R[:>,0.48267830437132003,55,56,18.91,41,70,-18.32,10,256,137,28,34
360,m-8)i,0.47757362698518385,46,47,26.14,33,53,-25.72,44,163,84,2,61
360,`wh:t,0.4692332653308456,62,29,19.04,44,36,-17.04,37,350,157,28,68
360,YoVE0,0.45669070226918523,57,19,13.67,30,10,-4.64,33,330,130,46,25
360,Xhc?p,0.45397523917328203,52,34,20.65,41,43,-17.87,32,312,150,36,66
360,"1Ei,r",0.4442430064342122,57,40,19.12,39,66,-29.77,10,223,159,6,67
360,deX6-,0.4092926204901738,47,17,14.31,33,6,-2.22,39,304,133,22,23
360,OrD<b,0.4017786491804493,53,39,14.41,41,48,-24.34,27,337,103,32,57
360,*e\5n,0.36155535615199996,48,66,17.36,36,94,-30.95,6,304,139,21,64
360,KegL`,0.3538909284339239,47,38,16.38,31,47,-19.92,25,304,156,57,55
360,aLRCB,0.33830803682814203,53,39,7.84,52,36,-5.25,37,241,124,43,36
360,pR*Eb,0.3372717742433562,55,36,10.32,34,47,-22.25,46,256,63,46,57
360,ko8Na,0.3365753585157337,48,35,12.09,30,42,-21.53,43,330,84,60,56
360,swZ3o,0.3365372197481817,60,28,13.08,38,34,-22.14,48,350,136,17,65
360,*^Y4),0.3362004406935213,51,47,10.72,33,51,-17.91,6,287,134,19,21
360,*iTOS,0.33211726955538434,52,69,12.22,41,97,-25.67,6,315,127,62,47
360,]8G+l,0.33140684245450525,47,42,15.98,35,53,-21.13,35,191,107,5,63
360,oekTs,0.33131403775627644,68,29,8.99,43,37,-35.91,45,304,162,70,67
450,_hGO(,0.9258026627664637,60,10,12.62,20,5,-3.11,36,312,107,62,20
450,_\FE0,0.6652006839515014,61,18,15.99,34,23,-6.79,36,282,106,46,25
450,ulC8J,0.6151370610152688,55,27,22.54,26,34,-26.31,49,322,101,25,42
450,MoK)P,0.6134974995296024,50,38,27.76,36,47,-11.92,26,330,113,2,45
450,VZ?7V,0.6040599332740689,57,38,22.26,32,49,-12.97,31,277,95,24,49
450,HTXk+,0.529188477638684,60,23,9.78,33,21,-7.39,23,261,133,106,22
450,thJv8,0.4991048189995931,63,19,5.7,35,17,-5.44,48,312,112,123,30
450,1R[:>,0.48267830437132003,55,56,18.91,41,70,-18.32,10,256,137,28,34
450,m-8)i,0.47757362698518385,46,47,26.14,33,53,-25.72,44,163,84,2,61
450,`wh:t,0.4692332653308456,62,29,19.04,44,36,-17.04,37,350,157,28,68
450,YoVE0,0.45669070226918523,57,19,13.67,30,10,-4.64,33,330,130,46,25
450,"1Ei,r",0.4442430064342122,57,40,19.12,39,66,-29.77,10,223,159,6,67
450,deX6-,0.4092926204901738,47,17,14.31,33,6,-2.22,39,304,133,22,23
450,OrD<b,0.4017786491804493,53,39,14.41,41,48,-24.34,27,337,103,32,57
450,*e\5n,0.36155535615199996,48,66,17.36,36,94,-30.95,6,304,139,21,64
450,KegL`,0.3538909284339239,47,38,16.38,31,47,-19.92,25,304,156,57,55
450,pR*Eb,0.3372717742433562,55,36,10.32,34,47,-22.25,46,256,63,46,57
450,swZ3o,0.3365372197481817,60,28,13.08,38,34,-22.14,48,350,136,17,65
450,*^Y4),0.3362004406935213,51,47,10.72,33,51,-17.91,6,287,134,19,21
450,*iTOS,0.33211726955538434,52,69,12.22,41,97,-25.67,6,315,127,62,47
450,]8G+l,0.33140684245450525,47,42,15.98,35,53,-21.13,35,191,107,5,63
450,oekTs,0.33131403775627644,68,29,8.99,43,37,-35.91,45,304,162,70,67
450,rsf)K,0.3285399139653304,59,22,18.02,46,26,6.35,47,340,154,2,42
450,s]cGL,0.3129025745296912,66,30,8.82,41,36,-14.36,48,284,150,49,43
450,f@Jjr,0.3116410818420541,56,41,4.16,41,53,-25.55,40,211,112,104,67
450,X-UH],0.30724981215320507,68,16,5.94,57,28,-2.45,32,163,128,51,54
450,`GLfP,0.3034959830918268,60,40,8.23,48,43,-10.08,37,228,115,98,45
450,^eS\Q,0.30338837482191555,55,34,8.04,41,41,-13.25,36,304,125,82,46
450,^q3/B,0.3020278898298152,43,37,7.07,30,40,-12.14,36,335,77,11,36
450,\QgbM,0.2944211709370811,52,17,9.26,35,28,-10.81,35,254,156,92,43
540,_hGO(,0.9258026627664637,60,10,12.62,20,5,-3.11,36,312,107,62,20
540,_\FE0,0.6652006839515014,61,18,15.99,34,23,-6.79,36,282,106,46,25
540,MoK)P,0.6134974995296024,50,38,27.76,36,47,-11.92,26,330,113,2,45
540,VZ?7V,0.6040599332740689,57,38,22.26,32,49,-12.97,31,277,95,24,49
540,HTXk+,0.529188477638684,60,23,9.78,33,21,-7.39,23,261,133,106,22
540,thJv8,0.4991048189995931,63,19,5.7,35,17,-5.44,48,312,112,123,30
540,1R[:>,0.48267830437132003,55,56,18.91,41,70,-18.32,10,256,137,28,34
540,`wh:t,0.4692332653308456,62,29,19.04,44,36,-17.04,37,350,157,28,68
540,YoVE0,0.45669070226918523,57,19,13.67,30,10,-4.64,33,330,130,46,25
540,deX6-,0.4092926204901738,47,17,14.31,33,6,-2.22,39,304,133,22,23
540,OrD<b,0.4017786491804493,53,39,14.41,41,48,-24.34,27,337,103,32,57
540,*e\5n,0.36155535615199996,48,66,17.36,36,94,-30.95,6,304,139,21,64
540,KegL`,0.3538909284339239,47,38,16.38,31,47,-19.92,25,304,156,57,55
540,pR*Eb,0.3372717742433562,55,36,10.32,34,47,-22.25,46,256,63,46,57
540,swZ3o,0.3365372197481817,60,28,13.08,38,34,-22.14,48,350,136,17,65
540,*^Y4),0.3362004406935213,51,47,10.72,33,51,-17.91,6,287,134,19,21
540,]8G+l,0.33140684245450525,47,42,15.98,35,53,-21.13,35,191,107,5,63
540,rsf)K,0.3285399139653304,59,22,18.02,46,26,6.35,47,340,154,2,42
540,s]cGL,0.3129025745296912,66,30,8.82,41,36,-14.36,48,284,150,49,43
540,X-UH],0.30724981215320507,68,16,5.94,57,28,-2.45,32,163,128,51,54
540,`GLfP,0.3034959830918268,60,40,8.23,48,43,-10.08,37,228,115,98,45
540,^q3/B,0.3020278898298152,43,37,7.07,30,40,-12.14,36,335,77,11,36
540,\QgbM,0.2944211709370811,52,17,9.26,35,28,-10.81,35,254,156,92,43
540,WqUl7,0.26472487698047764,54,24,4.6,31,19,-13.97,32,335,128,108,29
540,u9)Bm,0.26422768661179674,46,39,5.71,39,48,-20.97,49,193,62,41,64
540,olZ2=,0.2570132905662374,61,21,8.57,36,22,-6.04,45,322,136,16,33
540,YcMDm,0.255167398019563,61,36,8.43,52,42,-9.95,33,299,116,44,64
540,[H5cG,0.25335188808968945,51,37,8.59,35,51,-17.66,34,231,80,93,40
540,K\=5d,0.25237447272186886,45,40,10.78,37,53,-7.51,25,282,92,21,58
540,:RnRB,0.2418531804800645,55,34,7.27,54,33,-5.76,15,256,166,66,36
630,_hGO(,0.9258026627664637,60,10,12.62,20,5,-3.11,36,312,107,62,20
630,_\FE0,0.6652006839515014,61,18,15.99,34,23,-6.79,36,282,106,46,25
630,MoK)P,0.6134974995296024,50,38,27.76,36,47,-11.92,26,330,113,2,45
630,VZ?7V,0.6040599332740689,57,38,22.26,32,49,-12.97,31,277,95,24,49
630,1R[:>,0.48267830437132003,55,56,18.91,41,70,-18.32,10,256,137,28,34
630,`wh:t,0.4692332653308456,62,29,19.04,44,36,-17.04,37,350,157,28,68
630,YoVE0,0.45669070226918523,57,19,13.67,30,10,-4.64,33,330,130,46,25
630,deX6-,0.4092926204901738,47,17,14.31,33,6,-2.22,39,304,133,22,23
630,OrD<b,0.4017786491804493,53,39,14.41,41,48,-24.34,27,337,103,32,57
630,*e\5n,0.36155535615199996,48,66,17.36,36,94,-30.95,6,304,139,21,64
630,pR*Eb,0.3372717742433562,55,36,10.32,34,47,-22.25,46,256,63,46,57
630,swZ3o,0.3365372197481817,60,28,13.08,38,34,-22.14,48,350,136,17,65
630,rsf)K,0.3285399139653304,59,22,18.02,46,26,6.35,47,340,154,2,42
630,s]cGL,0.3129025745296912,66,30,8.82,41,36,-14.36,48,284,150,49,43
630,X-UH],0.30724981215320507,68,16,5.94,57,28,-2.45,32,163,128,51,54
630,`GLfP,0.3034959830918268,60,40,8.23,48,43,-10.08,37,228,115,98,45
630,^q3/B,0.3020278898298152,43,37,7.07,30,40,-12.14,36,335,77,11,36
630,\QgbM,0.2944211709370811,52,17,9.26,35,28,-10.81,35,254,156,92,43
630,WqUl7,0.26472487698047764,54,24,4.6,31,19,-13.97,32,335,128,108,29
630,u9)Bm,0.26422768661179674,46,39,5.71,39,48,-20.97,49,193,62,41,64
630,olZ2=,0.2570132905662374,61,21,8.57,36,22,-6.04,45,322,136,16,33
630,YcMDm,0.255167398019563,61,36,8.43,52,42,-9.95,33,299,116,44,64
630,K\=5d,0.25237447272186886,45,40,10.78,37,53,-7.51,25,282,92,21,58
630,:RnRB,0.2418531804800645,55,34,7.27,54,33,-5.76,15,256,166,66,36
630,nELlo,0.2356285761204955,59,37,4.85,36,49,-29.15,45,223,115,108,65
630,phJvr,0.22458691770417905,59,32,11.48,42,38,-23.26,46,312,112,123,67
630,shc9L,0.21652861729704162,61,26,21.79,46,30,-4.43,48,312,150,27,43
630,1aF:c,0.21636524481925004,48,66,7.72,35,87,-39.96,10,294,106,28,57
630,X;`OP,0.20785732009286026,64,14,7.07,41,17,-11.15,32,198,145,62,45
630,6-DLl,0.206745097978446,41,67,6.7,34,88,-28.17,13,163,103,57,63
720,_hGO(,0.9258026627664637,60,10,12.62,20,5,-3.11,36,312,107,62,20
720,_\FE0,0.6652006839515014,61,18,15.99,34,23,-6.79,36,282,106,46,25
720,MoK)P,0.6134974995296024,50,38,27.76,36,47,-11.92,26,330,113,2,45
720,VZ?7V,0.6040599332740689,57,38,22.26,32,49,-12.97,31,277,95,24,49
720,1R[:>,0.48267830437132003,55,56,18.91,41,70,-18.32,10,256,137,28,34
720,swcNL,0.47046788597514017,54,24,16.32,44,25,-2.4,48,350,150,60,43
720,`wh:t,0.4692332653308456,62,29,19.04,44,36,-17.04,37,350,157,28,68
720,YoVE0,0.45669070226918523,57,19,13.67,30,10,-4.64,33,330,130,46,25
720,swc3J,0.4460480415108376,62,24,14.64,45,24,-0.79,48,350,150,17,42
720,swc4L,0.4308552085687335,66,24,13.08,48,25,-6.52,48,350,150,19,43
720,swf3L,0.4252622687415422,65,23,16.31,44,25,-8.95,48,350,154,17,43
720,swc3;,0.4206701712081068,61,21,10.27,50,12,2.2,48,350,150,17,32
720,swcTL,0.41331487942537964,66,24,10.11,48,25,-7.81,48,350,150,70,43
720,deX6-,0.4092926204901738,47,17,14.31,33,6,-2.22,39,304,133,22,23
720,swc*L,0.40915713395658254,54,24,17.14,44,25,1.14,48,350,150,3,43
720,swcqL,0.4039334757705835,66,24,6.78,45,24,-10.31,48,350,150,116,43
720,swZ3L,0.40252597201968204,61,26,12.98,42,26,-8.29,48,350,136,17,43
720,OrD<b,0.4017786491804493,53,39,14.41,41,48,-24.34,27,337,103,32,57
720,swcSL,0.3834450556482819,66,24,10.58,48,25,-5.15,48,350,150,68,43
720,*e\5n,0.36155535615199996,48,66,17.36,36,94,-30.95,6,304,139,21,64
720,swa3L,0.3480188874941047,60,25,11.93,36,25,-15.11,48,350,147,17,43
720,pR*Eb,0.3372717742433562,55,36,10.32,34,47,-22.25,46,256,63,46,57
720,swc3r,0.33723522149442997,61,26,12.32,48,31,-16.72,48,350,150,17,67
720,swc3m,0.33723522149442997,61,26,12.32,48,31,-16.72,48,350,150,17,64
720,swZ3o,0.3365372197481817,60,28,13.08,38,34,-22.14,48,350,136,17,65
720,swcmL,0.32358797640630077,66,24,5.26,45,24,-10.87,48,350,150,109,43
720,s]cGL,0.3129025745296912,66,30,8.82,41,36,-14.36,48,284,150,49,43
720,X-UH],0.30724981215320507,68,16,5.94,57,28,-2.45,32,163,128,51,54
720,`GLfP,0.3034959830918268,60,40,8.23,48,43,-10.08,37,228,115,98,45
720,\QgbM,0.2944211709370811,52,17,9.26,35,28,-10.81,35,254,156,92,43
810,_hGO(,0.9258026627664637,60,10,12.62,20,5,-3.11,36,312,107,62,20
810,_\FE0,0.6652006839515014,61,18,15.99,34,23,-6.79,36,282,106,46,25
810,sZ=3L,0.4998740031707318,57,28,16.81,37,35,-19.46,48,277,92,17,43
810,1R[:>,0.48267830437132003,55,56,18.91,41,70,-18.32,10,256,137,28,34
810,swcNL,0.47046788597514017,54,24,16.32,44,25,-2.4,48,350,150,60,43
810,`wh:t,0.4692332653308456,62,29,19.04,44,36,-17.04,37,350,157,28,68
810,YoVE0,0.45669070226918523,57,19,13.67,30,10,-4.64,33,330,130,46,25
810,swc3J,0.4460480415108376,62,24,14.64,45,24,-0.79,48,350,150,17,42
810,swc4L,0.4308552085687335,66,24,13.08,48,25,-6.52,48,350,150,19,43
810,swf3L,0.4252622687415422,65,23,16.31,44,25,-8.95,48,350,154,17,43
810,swc3;,0.4206701712081068,61,21,10.27,50,12,2.2,48,350,150,17,32
810,swcTL,0.41331487942537964,66,24,10.11,48,25,-7.81,48,350,150,70,43
810,swc*L,0.40915713395658254,54,24,17.14,44,25,1.14,48,350,150,3,43
810,swcqL,0.4039334757705835,66,24,6.78,45,24,-10.31,48,350,150,116,43
810,OrD<b,0.4017786491804493,53,39,14.41,41,48,-24.34,27,337,103,32,57
810,swcSL,0.3834450556482819,66,24,10.58,48,25,-5.15,48,350,150,68,43
810,st=3L,0.382237332044153,53,28,10.76,30,36,-26.7,48,342,92,17,43
810,*e\5n,0.36155535615199996,48,66,17.36,36,94,-30.95,6,304,139,21,64
810,sU=3L,0.3515685227583016,58,31,11.42,36,36,-18.7,48,264,92,17,43
810,swa3L,0.3480188874941047,60,25,11.93,36,25,-15.11,48,350,147,17,43
