'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'YFII-USDT','5m','E^cA','2021-09-11','2021-10-11','19','10.33','-6.58',265,'63','2.66','3.5','40.28','7','2',442,-310,'12','7','-9.59'
'YFII-USDT','5m','-VW=v','2021-09-11','2021-10-11','44','1.21','-11.1',113,'41','0.61','1.56','10.22','3','6',423,-390,'18','26','-9.59'
'YFII-USDT','5m','vNqn','2021-09-11','2021-10-11','7','3.46','-5.57',51,'71','0.38','1.92','9.2','4','2',377,-362,'5','2','-9.59'
'YFII-USDT','5m','QYRcn','2021-09-11','2021-10-11','44','2.59','-12.42',114,'41','0.5','1.49','9.18','5','7',441,-527,'18','26','-9.59'
'YFII-USDT','5m','eVkWv','2021-09-11','2021-10-11','19','2.53','-7.74',65,'47','0.41','1.42','8.38','3','4',366,-598,'9','10','-9.59'
'YFII-USDT','5m','-VW?v','2021-09-11','2021-10-11','44','1.53','-12.83',75,'36','0.32','1.18','5.86','3','6',521,-386,'16','28','-9.59'
'YFII-USDT','5m','tbik','2021-09-11','2021-10-11','26','-1.06','-9.01',43,'54','0.16','1.0','4.75','5','4',348,-602,'14','12','-9.59'
'YFII-USDT','5m','-VWLv','2021-09-11','2021-10-11','45','1.44','-14.15',56,'38','0.19','0.98','3.99','3','6',546,-386,'17','28','-9.59'
'YFII-USDT','5m','LewDb','2021-09-11','2021-10-11','16','3.77','-14.46',57,'62','0.07','1.33','3.93','8','5',364,-593,'10','6','-9.59'
'YFII-USDT','5m','?VW2v','2021-09-11','2021-10-11','43','-0.4','-15.21',48,'42','0.18','0.91','3.17','3','7',465,-397,'18','25','-9.59'
'YFII-USDT','5m','-VW<v','2021-09-11','2021-10-11','44','-2.52','-13.5',20,'39','0.09','0.58','1.46','3','6',401,-382,'17','27','-9.59'
'YFII-USDT','5m','-VWWu','2021-09-11','2021-10-11','45','-1.91','-12.79',18,'38','0.08','0.55','1.37','3','6',398,-380,'17','28','-9.59'
'YFII-USDT','5m',',VWWv','2021-09-11','2021-10-11','45','-1.91','-12.79',18,'38','0.08','0.55','1.37','3','6',398,-380,'17','28','-9.59'
'YFII-USDT','5m','-VWWs','2021-09-11','2021-10-11','45','-1.91','-12.79',18,'38','0.08','0.55','1.37','3','6',398,-380,'17','28','-9.59'
'YFII-USDT','5m','-VWWl','2021-09-11','2021-10-11','45','-1.91','-12.79',18,'38','0.08','0.55','1.37','3','6',398,-380,'17','28','-9.59'
'YFII-USDT','5m','-VWMv','2021-09-11','2021-10-11','45','-1.01','-14.58',16,'38','0.06','0.53','1.13','3','6',473,-382,'17','28','-9.59'
'YFII-USDT','5m','-VW.v','2021-09-11','2021-10-11','45','-0.72','-16.25',17,'38','0.05','0.55','1.08','3','6',504,-386,'17','28','-9.59'
'YFII-USDT','5m','FVW*?','2021-09-11','2021-10-11','34','0.62','-17.25',13,'35','0.02','0.49','0.77','3','9',568,-326,'12','22','-9.59'
'YFII-USDT','5m','?VW.v','2021-09-11','2021-10-11','42','-2.49','-16.46',9,'38','0.03','0.44','0.55','2','7',503,-392,'16','26','-9.59'
'YFII-USDT','5m',':VWWv','2021-09-11','2021-10-11','45','-3.11','-15.27',-3,'40','-0.01','0.23','-0.2','3','6',401,-389,'18','27','-9.59'
'YFII-USDT','5m','7VWWv','2021-09-11','2021-10-11','45','-3.11','-15.27',-3,'40','-0.01','0.23','-0.2','3','6',401,-389,'18','27','-9.59'
'YFII-USDT','5m',':YY:_','2021-09-11','2021-10-11','37','-4.01','-18.26',-7,'41','-0.01','0.19','-0.4','4','6',477,-346,'15','22','-9.59'
'YFII-USDT','5m','`RNWv','2021-09-11','2021-10-11','48','-3.3','-19.74',-8,'38','-0.02','0.18','-0.41','5','7',425,-561,'18','30','-9.59'
'YFII-USDT','5m','cRNWv','2021-09-11','2021-10-11','48','-3.3','-19.74',-8,'38','-0.02','0.18','-0.41','5','7',425,-561,'18','30','-9.59'
'YFII-USDT','5m','\\RNWv','2021-09-11','2021-10-11','48','-3.3','-19.74',-8,'38','-0.02','0.18','-0.41','5','7',425,-561,'18','30','-9.59'
'YFII-USDT','5m','RNWv','2021-09-11','2021-10-11','48','-3.3','-19.74',-8,'38','-0.02','0.18','-0.41','5','7',425,-561,'18','30','-9.59'
'YFII-USDT','5m','aRNWv','2021-09-11','2021-10-11','48','-3.3','-19.74',-8,'38','-0.02','0.18','-0.41','5','7',425,-561,'18','30','-9.59'
'YFII-USDT','5m','^RNWv','2021-09-11','2021-10-11','48','-3.3','-19.74',-8,'38','-0.02','0.18','-0.41','5','7',425,-561,'18','30','-9.59'
'YFII-USDT','5m','_RNWv','2021-09-11','2021-10-11','48','-3.3','-19.74',-8,'38','-0.02','0.18','-0.41','5','7',425,-561,'18','30','-9.59'
'YFII-USDT','5m','eVPWc','2021-09-11','2021-10-11','47','-3.33','-23.09',-14,'40','-0.02','0.08','-0.63','5','7',444,-460,'19','28','-9.59'
'YFII-USDT','5m','?^WWv','2021-09-11','2021-10-11','47','-3.76','-14.27',-9,'43','-0.04','0.11','-0.65','3','7',395,-471,'20','27','-9.59'
'YFII-USDT','5m','\\sta','2021-09-11','2021-10-11','15','-1.13','-11.21',-8,'60','-0.02','-0.18','-0.71','7','5',259,-527,'9','6','-9.59'
'YFII-USDT','5m','YOR9c','2021-09-11','2021-10-11','39','-3.96','-20.8',-20,'38','-0.03','-0.01','-0.94','5','5',517,-433,'15','24','-9.59'
'YFII-USDT','5m','IVWWv','2021-09-11','2021-10-11','42','-5.1','-13.2',-13,'40','-0.06','-0.04','-1.01','3','5',398,-496,'17','25','-9.59'
'YFII-USDT','5m','3OW?n','2021-09-11','2021-10-11','44','-4.16','-17.1',-19,'39','-0.06','-0.0','-1.12','3','6',518,-338,'17','27','-9.59'
'YFII-USDT','5m','?dpMr','2021-09-11','2021-10-11','23','-2.49','-14.9',-19,'43','-0.04','-0.17','-1.3','4','6',433,-554,'10','13','-9.59'
'YFII-USDT','5m','-VW;v','2021-09-11','2021-10-11','40','-5.3','-11.05',-16,'35','-0.13','-0.07','-1.45','2','6',445,-386,'14','26','-9.59'
'YFII-USDT','5m','=ptVt','2021-09-11','2021-10-11','25','-3.24','-12.94',-19,'44','-0.04','-0.18','-1.46','4','7',421,-540,'11','14','-9.59'
'YFII-USDT','5m','hPmHf','2021-09-11','2021-10-11','14','-2.73','-17.0',-29,'57','-0.04','-0.74','-1.68','7','6',323,-552,'8','6','-9.59'
'YFII-USDT','5m','eRNWZ','2021-09-11','2021-10-11','47','-7.71','-26.91',-49,'40','-0.06','-0.64','-1.8','5','7',446,-463,'19','28','-9.59'
'YFII-USDT','5m','@cW*?','2021-09-11','2021-10-11','41','-5.61','-24.33',-46,'29','-0.07','-0.57','-1.88','3','14',577,-300,'12','29','-9.59'
'YFII-USDT','5m','ePPHa','2021-09-11','2021-10-11','43','-7.55','-18.72',-36,'49','-0.08','-0.51','-1.93','5','4',341,-423,'21','22','-9.59'
'YFII-USDT','5m','=bVNC','2021-09-11','2021-10-11','45','-6.45','-23.48',-47,'33','-0.07','-0.78','-2.01','3','9',460,-299,'15','30','-9.59'
'YFII-USDT','5m','ePPWb','2021-09-11','2021-10-11','46','-7.44','-20.8',-43,'41','-0.08','-0.6','-2.05','5','6',415,-429,'19','27','-9.59'
'YFII-USDT','5m','XRV.a','2021-09-11','2021-10-11','40','-5.42','-19.92',-42,'38','-0.1','-0.58','-2.12','4','6',501,-416,'15','25','-9.59'
'YFII-USDT','5m','q9da','2021-09-11','2021-10-11','11','-3.04','-13.84',-31,'64','-0.05','-1.02','-2.26','6','4',283,-525,'7','4','-9.59'
'YFII-USDT','5m','@VW*F','2021-09-11','2021-10-11','38','-7.66','-20.72',-50,'34','-0.12','-0.75','-2.39','2','7',550,-346,'13','25','-9.59'
'YFII-USDT','5m','fVPWv','2021-09-11','2021-10-11','48','-8.41','-23.06',-56,'40','-0.11','-0.82','-2.41','5','7',420,-553,'19','29','-9.59'
'YFII-USDT','5m','gVPWv','2021-09-11','2021-10-11','48','-8.41','-23.06',-56,'40','-0.11','-0.82','-2.41','5','7',420,-553,'19','29','-9.59'
'YFII-USDT','5m','eSNWd','2021-09-11','2021-10-11','49','-9.38','-24.22',-59,'41','-0.11','-0.9','-2.43','5','7',421,-557,'20','29','-9.59'
'YFII-USDT','5m','eRNWk','2021-09-11','2021-10-11','49','-9.41','-24.25',-59,'41','-0.11','-0.9','-2.44','5','7',421,-558,'20','29','-9.59'
'YFII-USDT','5m','@VW*A','2021-09-11','2021-10-11','38','-7.93','-20.36',-51,'34','-0.12','-0.89','-2.51','2','7',546,-316,'13','25','-9.59'
'YFII-USDT','5m','@^W*?','2021-09-11','2021-10-11','42','-11.61','-28.46',-75,'29','-0.11','-1.68','-2.62','4','8',577,-288,'12','30','-9.59'
'YFII-USDT','5m','@_W*?','2021-09-11','2021-10-11','44','-10.38','-26.41',-70,'30','-0.1','-1.5','-2.63','3','8',567,-285,'13','31','-9.59'
'YFII-USDT','5m','ePPH','2021-09-11','2021-10-11','42','-10.28','-21.11',-56,'48','-0.1','-1.16','-2.63','5','4',341,-423,'20','22','-9.59'
'YFII-USDT','5m','ePPW\\','2021-09-11','2021-10-11','45','-10.69','-23.55',-63,'40','-0.09','-1.32','-2.66','5','6',415,-429,'18','27','-9.59'
'YFII-USDT','5m','eRQWv','2021-09-11','2021-10-11','46','-10.09','-23.15',-64,'41','-0.13','-1.21','-2.76','5','7',416,-558,'19','27','-9.59'
'YFII-USDT','5m','-VW*=','2021-09-11','2021-10-11','34','-5.63','-15.45',-43,'38','-0.18','-0.65','-2.76','3','6',527,-290,'13','21','-9.59'
'YFII-USDT','5m','@VW)?','2021-09-11','2021-10-11','37','-10.53','-23.83',-67,'30','-0.14','-1.4','-2.81','3','12',590,-322,'11','26','-9.59'
'YFII-USDT','5m','BVV.a','2021-09-11','2021-10-11','44','-9.16','-17.45',-49,'36','-0.2','-0.68','-2.82','2','7',482,-501,'16','28','-9.59'
'YFII-USDT','5m','<VV.a','2021-09-11','2021-10-11','44','-9.16','-17.45',-49,'36','-0.2','-0.68','-2.82','2','7',482,-501,'16','28','-9.59'
'YFII-USDT','5m','ePRWv','2021-09-11','2021-10-11','45','-11.95','-19.66',-57,'40','-0.12','-1.02','-2.89','5','5',400,-538,'18','27','-9.59'
'YFII-USDT','5m','@XW*?','2021-09-11','2021-10-11','38','-13.96','-28.11',-83,'26','-0.13','-2.36','-2.95','3','12',559,-304,'10','28','-9.59'
'YFII-USDT','5m','hPPHs','2021-09-11','2021-10-11','43','-10.2','-18.74',-55,'49','-0.15','-1.05','-2.96','5','4',332,-546,'21','22','-9.59'
'YFII-USDT','5m','ePPHt','2021-09-11','2021-10-11','43','-10.2','-18.74',-55,'49','-0.15','-1.05','-2.96','5','4',332,-546,'21','22','-9.59'
'YFII-USDT','5m','@VX*?','2021-09-11','2021-10-11','35','-11.42','-24.35',-76,'31','-0.15','-2.04','-3.11','3','11',548,-316,'11','24','-9.59'
'YFII-USDT','5m','-VWWa','2021-09-11','2021-10-11','45','-9.18','-16.86',-53,'36','-0.16','-1.01','-3.12','3','6',391,-380,'16','29','-9.59'
'YFII-USDT','5m','o4,@X','2021-09-11','2021-10-11','60','-28.73','-30.85',-97,'30','-0.2','-5.07','-3.15','3','8',399,-368,'18','42','-9.59'
'YFII-USDT','5m','@VW.?','2021-09-11','2021-10-11','38','-13.22','-22.83',-74,'32','-0.18','-1.94','-3.23','2','12',487,-313,'12','26','-9.59'
'YFII-USDT','5m','@VW4?','2021-09-11','2021-10-11','39','-13.11','-21.33',-69,'33','-0.2','-1.66','-3.23','3','12',389,-310,'13','26','-9.59'
'YFII-USDT','5m','eRNDv','2021-09-11','2021-10-11','45','-12.37','-21.77',-71,'40','-0.18','-1.51','-3.24','3','7',365,-558,'18','27','-9.59'
'YFII-USDT','5m','-VWW^','2021-09-11','2021-10-11','45','-9.93','-17.53',-57,'36','-0.15','-1.21','-3.25','3','6',391,-380,'16','29','-9.59'
'YFII-USDT','5m','3eWXn','2021-09-11','2021-10-11','50','-10.95','-17.89',-58,'40','-0.28','-0.99','-3.25','4','8',403,-548,'20','30','-9.59'
'YFII-USDT','5m','3OW5n','2021-09-11','2021-10-11','46','-8.5','-17.82',-58,'35','-0.2','-0.99','-3.26','2','6',558,-357,'16','30','-9.59'
'YFII-USDT','5m','@VWF?','2021-09-11','2021-10-11','39','-11.63','-20.22',-67,'46','-0.18','-1.74','-3.31','3','5',407,-308,'18','21','-9.59'
'YFII-USDT','5m','-dW6n','2021-09-11','2021-10-11','52','-13.62','-23.26',-79,'37','-0.27','-1.64','-3.39','3','8',523,-552,'19','33','-9.59'
'YFII-USDT','5m','_W6,U','2021-09-11','2021-10-11','50','-16.08','-24.07',-86,'30','-0.23','-2.45','-3.55','2','8',556,-366,'15','35','-9.59'
'YFII-USDT','5m','-SUNv','2021-09-11','2021-10-11','50','-9.16','-17.03',-61,'36','-0.25','-1.24','-3.57','3','6',412,-511,'18','32','-9.59'
'YFII-USDT','5m','-VW*9','2021-09-11','2021-10-11','31','-5.29','-12.7',-46,'35','-0.23','-0.84','-3.6','3','5',504,-275,'11','20','-9.59'
'YFII-USDT','5m','ui*5<','2021-09-11','2021-10-11','41','-15.34','-22.97',-84,'24','-0.17','-2.9','-3.67','2','7',542,-291,'10','31','-9.59'
'YFII-USDT','5m','wVW*?','2021-09-11','2021-10-11','32','-11.35','-20.62',-76,'28','-0.15','-2.2','-3.68','2','8',505,-290,'9','23','-9.59'
'YFII-USDT','5m','ftUQf','2021-09-11','2021-10-11','41','-12.08','-18.76',-69,'37','-0.3','-1.87','-3.69','3','8',436,-403,'15','26','-9.59'
'YFII-USDT','5m','@TW*?','2021-09-11','2021-10-11','34','-10.55','-17.31',-66,'32','-0.3','-1.66','-3.78','2','11',519,-293,'11','23','-9.59'
'YFII-USDT','5m','O=ITi','2021-09-11','2021-10-11','55','-27.59','-25.05',-95,'31','-0.3','-5.0','-3.81','3','8',307,-387,'17','38','-9.59'
'YFII-USDT','5m','WrVZ;','2021-09-11','2021-10-11','34','-8.03','-14.14',-54,'35','-0.21','-1.47','-3.85','4','6',339,-269,'12','22','-9.59'
'YFII-USDT','5m','g^VGt','2021-09-11','2021-10-11','46','-18.99','-22.8',-89,'43','-0.27','-3.46','-3.9','3','4',363,-543,'20','26','-9.59'
'YFII-USDT','5m','-VUWv','2021-09-11','2021-10-11','55','-14.55','-19.98',-78,'33','-0.32','-2.06','-3.91','3','8',376,-519,'18','37','-9.59'
'YFII-USDT','5m','CMNWv','2021-09-11','2021-10-11','51','-12.61','-18.12',-71,'35','-0.25','-1.86','-3.92','3','7',369,-436,'18','33','-9.59'
'YFII-USDT','5m','HPqWv','2021-09-11','2021-10-11','18','-13.83','-20.15',-83,'33','-0.11','-4.12','-4.14','3','8',363,-635,'6','12','-9.59'
'YFII-USDT','5m','VsWv','2021-09-11','2021-10-11','17','-17.56','-21.68',-90,'41','-0.12','-5.87','-4.17','2','5',351,-621,'7','10','-9.59'
'YFII-USDT','5m','WVsWv','2021-09-11','2021-10-11','17','-17.56','-21.68',-90,'41','-0.12','-5.87','-4.17','2','5',351,-621,'7','10','-9.59'
'YFII-USDT','5m','3fWHn','2021-09-11','2021-10-11','47','-16.11','-18.09',-77,'43','-0.38','-2.17','-4.28','6','7',312,-525,'20','27','-9.59'
'YFII-USDT','5m','MVsWv','2021-09-11','2021-10-11','17','-17.02','-20.73',-90,'35','-0.12','-5.66','-4.32','2','5',353,-621,'6','11','-9.59'
'YFII-USDT','5m','?VuWv','2021-09-11','2021-10-11','17','-9.49','-15.31',-70,'41','-0.16','-2.45','-4.56','2','8',368,-645,'7','10','-9.59'
'YFII-USDT','5m','7Fpob','2021-09-11','2021-10-11','19','-11.51','-15.62',-73,'42','-0.15','-3.33','-4.66','3','6',341,-550,'8','11','-9.59'
'YFII-USDT','5m','eVswv','2021-09-11','2021-10-11','14','-13.32','-17.04',-82,'50','-0.14','-4.37','-4.84','2','5',233,-595,'7','7','-9.59'
'YFII-USDT','5m','ePjWv','2021-09-11','2021-10-11','16','-6.1','-9.78',-48,'44','-0.22','-1.61','-4.89','2','6',366,-656,'7','9','-9.59'
'YFII-USDT','5m','eEsWv','2021-09-11','2021-10-11','11','-10.36','-13.77',-74,'45','-0.11','-4.08','-5.34','2','2',352,-624,'5','6','-9.59'
'YFII-USDT','5m','3OWXE','2021-09-11','2021-10-11','40','-11.94','-12.86',-70,'38','-0.57','-2.02','-5.44','2','6',370,-291,'15','25','-9.59'
'YFII-USDT','5m','3OWXC','2021-09-11','2021-10-11','39','-12.31','-12.03',-72,'38','-0.69','-2.29','-5.98','2','6',366,-291,'15','24','-9.59'
