iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_rsi_len,parameters.chop_bandwidth
99,Tv0(Zs,48.920559217363206,90,11,3.31,100,1,0.36,28,791,85,10,32,285
99,.PFCsR,2.299952371808496,47,57,45.36,36,11,1.71,5,454,183,34,48,164
99,75\adC,2.1984656375367444,37,200,68.9,21,32,-4.78,10,215,280,61,38,109
99,k:VQKm,1.73664040329838,61,34,55.14,20,5,-1.93,43,259,254,46,23,263
99,3S.hwT,1.098392682290544,50,54,37.5,33,12,2.86,8,481,77,67,50,172
99,r6:IS^,1.034863870985674,55,67,37.97,53,13,4.91,47,224,130,39,28,208
99,vBJh]Z,0.9874524395109103,43,53,39.69,37,8,-3.11,49,330,201,67,34,194
99,"[,Y.*j",0.9737822577987155,49,121,41.38,22,18,-2.42,33,135,267,15,3,252
99,l7\gc^,0.9454998231546154,60,35,42.7,25,8,-1.2,43,233,280,66,38,208
99,v@WLkU,0.9368514295461512,46,47,45.51,20,10,-4.43,49,313,258,42,43,175
99,1EkquE,0.9092786772069135,33,156,45.58,27,18,-1.61,7,357,347,75,49,116
99,"tutp,b",0.8974759997659831,50,40,52.45,0,5,-5.75,48,782,387,74,4,223
99,\BHH@l,0.8673456640371792,45,61,42.54,33,9,-1.02,33,330,192,38,17,260
99,4juD3[,0.8306741393926932,36,95,32.91,14,7,-3.13,8,685,391,35,9,197
99,@]*Bg5,0.7432396613724328,62,140,27.38,57,14,1.83,16,570,59,33,40,58
99,Y-j@sZ,0.7421918311460971,56,23,20.73,0,3,-1.74,31,144,342,31,48,194
99,o:JK9p,0.6826044905775327,50,62,32.74,37,8,-0.2,45,259,201,41,12,274
99,^D+leP,0.6719308178055013,46,106,32.53,41,17,1.46,34,348,63,70,39,157
99,+ZOg>n,0.638078643778168,35,70,23.29,33,9,-1.16,3,543,223,66,15,267
99,5H3VCa,0.6205452029798307,37,126,32.34,37,16,4.24,9,384,99,51,18,219
99,"JX,t2j",0.6146533630029727,44,97,30.14,46,13,4.76,22,525,68,77,8,252
99,OXf+R_,0.5921375485428927,60,58,30.93,50,8,4.23,25,525,325,13,28,212
99,7R5S-h,0.5775691816548769,35,152,29.19,35,14,2.41,10,472,108,48,5,245
99,91u6iJ,0.5775396124983586,33,163,31.1,25,27,-3.59,12,180,391,22,41,135
99,5@E5rH,0.5750147592940448,37,168,22.7,43,23,7.03,9,313,178,22,47,127
99,"`8*VG,",0.562373957713548,48,167,27.71,43,23,5.44,36,242,59,51,21,25
99,lR\iHN,0.559757497809875,38,62,35.84,28,7,-4.01,43,472,280,68,21,149
99,fuPw5k,0.5596368225410762,39,43,42.04,12,8,-6.03,39,782,227,80,10,256
99,2D4j*:,0.5498166685183093,32,228,36.17,37,24,1.91,7,348,103,68,3,76
99,"H<XF,l",0.5406817999780262,40,98,31.16,16,12,-5.22,21,277,263,37,4,260
99,Tv0(Zs,48.920559217363206,90,11,3.31,100,1,0.36,28,791,85,10,32,285
99,.PFCsR,2.299952371808496,47,57,45.36,36,11,1.71,5,454,183,34,48,164
99,75\adC,2.1984656375367444,37,200,68.9,21,32,-4.78,10,215,280,61,38,109
99,k:VQKm,1.73664040329838,61,34,55.14,20,5,-1.93,43,259,254,46,23,263
99,3S.hwT,1.098392682290544,50,54,37.5,33,12,2.86,8,481,77,67,50,172
99,r6:IS^,1.034863870985674,55,67,37.97,53,13,4.91,47,224,130,39,28,208
99,vBJh]Z,0.9874524395109103,43,53,39.69,37,8,-3.11,49,330,201,67,34,194
99,"[,Y.*j",0.9737822577987155,49,121,41.38,22,18,-2.42,33,135,267,15,3,252
99,l7\gc^,0.9454998231546154,60,35,42.7,25,8,-1.2,43,233,280,66,38,208
99,v@WLkU,0.9368514295461512,46,47,45.51,20,10,-4.43,49,313,258,42,43,175
99,1EkquE,0.9092786772069135,33,156,45.58,27,18,-1.61,7,357,347,75,49,116
99,"tutp,b",0.8974759997659831,50,40,52.45,0,5,-5.75,48,782,387,74,4,223
99,\BHH@l,0.8673456640371792,45,61,42.54,33,9,-1.02,33,330,192,38,17,260
99,4juD3[,0.8306741393926932,36,95,32.91,14,7,-3.13,8,685,391,35,9,197
99,@]*Bg5,0.7432396613724328,62,140,27.38,57,14,1.83,16,570,59,33,40,58
99,Y-j@sZ,0.7421918311460971,56,23,20.73,0,3,-1.74,31,144,342,31,48,194
99,o:JK9p,0.6826044905775327,50,62,32.74,37,8,-0.2,45,259,201,41,12,274
99,^D+leP,0.6719308178055013,46,106,32.53,41,17,1.46,34,348,63,70,39,157
99,+ZOg>n,0.638078643778168,35,70,23.29,33,9,-1.16,3,543,223,66,15,267
99,5H3VCa,0.6205452029798307,37,126,32.34,37,16,4.24,9,384,99,51,18,219
99,"JX,t2j",0.6146533630029727,44,97,30.14,46,13,4.76,22,525,68,77,8,252
99,OXf+R_,0.5921375485428927,60,58,30.93,50,8,4.23,25,525,325,13,28,212
99,7R5S-h,0.5775691816548769,35,152,29.19,35,14,2.41,10,472,108,48,5,245
99,91u6iJ,0.5775396124983586,33,163,31.1,25,27,-3.59,12,180,391,22,41,135
99,5@E5rH,0.5750147592940448,37,168,22.7,43,23,7.03,9,313,178,22,47,127
99,"`8*VG,",0.562373957713548,48,167,27.71,43,23,5.44,36,242,59,51,21,25
99,lR\iHN,0.559757497809875,38,62,35.84,28,7,-4.01,43,472,280,68,21,149
99,fuPw5k,0.5596368225410762,39,43,42.04,12,8,-6.03,39,782,227,80,10,256
99,2D4j*:,0.5498166685183093,32,228,36.17,37,24,1.91,7,348,103,68,3,76
99,"H<XF,l",0.5406817999780262,40,98,31.16,16,12,-5.22,21,277,263,37,4,260
198,Tv0(Zs,48.920559217363206,90,11,3.31,100,1,0.36,28,791,85,10,32,285
198,.PFCsR,2.299952371808496,47,57,45.36,36,11,1.71,5,454,183,34,48,164
198,75\adC,2.1984656375367444,37,200,68.9,21,32,-4.78,10,215,280,61,38,109
198,3S.hwT,1.098392682290544,50,54,37.5,33,12,2.86,8,481,77,67,50,172
198,vBJh]Z,0.9874524395109103,43,53,39.69,37,8,-3.11,49,330,201,67,34,194
198,"[,Y.*j",0.9737822577987155,49,121,41.38,22,18,-2.42,33,135,267,15,3,252
198,l7\gc^,0.9454998231546154,60,35,42.7,25,8,-1.2,43,233,280,66,38,208
198,v@WLkU,0.9368514295461512,46,47,45.51,20,10,-4.43,49,313,258,42,43,175
198,1EkquE,0.9092786772069135,33,156,45.58,27,18,-1.61,7,357,347,75,49,116
198,"tutp,b",0.8974759997659831,50,40,52.45,0,5,-5.75,48,782,387,74,4,223
198,\BHH@l,0.8673456640371792,45,61,42.54,33,9,-1.02,33,330,192,38,17,260
198,4juD3[,0.8306741393926932,36,95,32.91,14,7,-3.13,8,685,391,35,9,197
198,@]*Bg5,0.7432396613724328,62,140,27.38,57,14,1.83,16,570,59,33,40,58
198,Y-j@sZ,0.7421918311460971,56,23,20.73,0,3,-1.74,31,144,342,31,48,194
198,o:JK9p,0.6826044905775327,50,62,32.74,37,8,-0.2,45,259,201,41,12,274
198,^D+leP,0.6719308178055013,46,106,32.53,41,17,1.46,34,348,63,70,39,157
198,+ZOg>n,0.638078643778168,35,70,23.29,33,9,-1.16,3,543,223,66,15,267
198,5H3VCa,0.6205452029798307,37,126,32.34,37,16,4.24,9,384,99,51,18,219
198,OXf+R_,0.5921375485428927,60,58,30.93,50,8,4.23,25,525,325,13,28,212
198,7R5S-h,0.5775691816548769,35,152,29.19,35,14,2.41,10,472,108,48,5,245
198,91u6iJ,0.5775396124983586,33,163,31.1,25,27,-3.59,12,180,391,22,41,135
198,5@E5rH,0.5750147592940448,37,168,22.7,43,23,7.03,9,313,178,22,47,127
198,"`8*VG,",0.562373957713548,48,167,27.71,43,23,5.44,36,242,59,51,21,25
198,lR\iHN,0.559757497809875,38,62,35.84,28,7,-4.01,43,472,280,68,21,149
198,fuPw5k,0.5596368225410762,39,43,42.04,12,8,-6.03,39,782,227,80,10,256
198,2D4j*:,0.5498166685183093,32,228,36.17,37,24,1.91,7,348,103,68,3,76
198,"H<XF,l",0.5406817999780262,40,98,31.16,16,12,-5.22,21,277,263,37,4,260
198,+D`0XI,0.5341127683553722,29,257,28.25,22,31,3.4,3,348,298,17,31,131
198,a<<sMo,0.5322697883649736,59,27,25.74,33,6,-1.06,36,277,139,76,24,271
198,5S=Q?i,0.527184541676766,37,82,21.83,27,11,-0.59,9,481,143,46,16,249
297,Tv0(Zs,48.920559217363206,90,11,3.31,100,1,0.36,28,791,85,10,32,285
297,.PFCsR,2.299952371808496,47,57,45.36,36,11,1.71,5,454,183,34,48,164
297,75\adC,2.1984656375367444,37,200,68.9,21,32,-4.78,10,215,280,61,38,109
297,3S.hwT,1.098392682290544,50,54,37.5,33,12,2.86,8,481,77,67,50,172
297,vBJh]Z,0.9874524395109103,43,53,39.69,37,8,-3.11,49,330,201,67,34,194
297,"[,Y.*j",0.9737822577987155,49,121,41.38,22,18,-2.42,33,135,267,15,3,252
297,l7\gc^,0.9454998231546154,60,35,42.7,25,8,-1.2,43,233,280,66,38,208
297,1EkquE,0.9092786772069135,33,156,45.58,27,18,-1.61,7,357,347,75,49,116
297,"tutp,b",0.8974759997659831,50,40,52.45,0,5,-5.75,48,782,387,74,4,223
297,@]*Bg5,0.7432396613724328,62,140,27.38,57,14,1.83,16,570,59,33,40,58
297,Y-j@sZ,0.7421918311460971,56,23,20.73,0,3,-1.74,31,144,342,31,48,194
297,o:JK9p,0.6826044905775327,50,62,32.74,37,8,-0.2,45,259,201,41,12,274
297,^D+leP,0.6719308178055013,46,106,32.53,41,17,1.46,34,348,63,70,39,157
297,+ZOg>n,0.638078643778168,35,70,23.29,33,9,-1.16,3,543,223,66,15,267
297,5H3VCa,0.6205452029798307,37,126,32.34,37,16,4.24,9,384,99,51,18,219
297,OXf+R_,0.5921375485428927,60,58,30.93,50,8,4.23,25,525,325,13,28,212
297,7R5S-h,0.5775691816548769,35,152,29.19,35,14,2.41,10,472,108,48,5,245
297,91u6iJ,0.5775396124983586,33,163,31.1,25,27,-3.59,12,180,391,22,41,135
297,5@E5rH,0.5750147592940448,37,168,22.7,43,23,7.03,9,313,178,22,47,127
297,"`8*VG,",0.562373957713548,48,167,27.71,43,23,5.44,36,242,59,51,21,25
297,lR\iHN,0.559757497809875,38,62,35.84,28,7,-4.01,43,472,280,68,21,149
297,fuPw5k,0.5596368225410762,39,43,42.04,12,8,-6.03,39,782,227,80,10,256
297,2D4j*:,0.5498166685183093,32,228,36.17,37,24,1.91,7,348,103,68,3,76
297,"H<XF,l",0.5406817999780262,40,98,31.16,16,12,-5.22,21,277,263,37,4,260
297,+D`0XI,0.5341127683553722,29,257,28.25,22,31,3.4,3,348,298,17,31,131
297,a<<sMo,0.5322697883649736,59,27,25.74,33,6,-1.06,36,277,139,76,24,271
297,5S=Q?i,0.527184541676766,37,82,21.83,27,11,-0.59,9,481,143,46,16,249
297,"a5v:,r",0.489300593074663,44,69,36.07,37,8,-3.12,36,215,396,26,4,282
297,SWJi?Y,0.48547799700654626,36,73,32.8,37,8,-0.92,28,516,201,68,16,190
297,.QVrq_,0.45619756519171967,72,11,13.84,20,5,-0.62,5,463,254,76,46,212
396,Tv0(Zs,48.920559217363206,90,11,3.31,100,1,0.36,28,791,85,10,32,285
396,.PFCsR,2.299952371808496,47,57,45.36,36,11,1.71,5,454,183,34,48,164
396,75\adC,2.1984656375367444,37,200,68.9,21,32,-4.78,10,215,280,61,38,109
396,3S.hwT,1.098392682290544,50,54,37.5,33,12,2.86,8,481,77,67,50,172
396,vBJh]Z,0.9874524395109103,43,53,39.69,37,8,-3.11,49,330,201,67,34,194
396,"[,Y.*j",0.9737822577987155,49,121,41.38,22,18,-2.42,33,135,267,15,3,252
396,l7\gc^,0.9454998231546154,60,35,42.7,25,8,-1.2,43,233,280,66,38,208
396,1EkquE,0.9092786772069135,33,156,45.58,27,18,-1.61,7,357,347,75,49,116
396,"tutp,b",0.8974759997659831,50,40,52.45,0,5,-5.75,48,782,387,74,4,223
396,Y-j@sZ,0.7421918311460971,56,23,20.73,0,3,-1.74,31,144,342,31,48,194
396,o:JK9p,0.6826044905775327,50,62,32.74,37,8,-0.2,45,259,201,41,12,274
396,^D+leP,0.6719308178055013,46,106,32.53,41,17,1.46,34,348,63,70,39,157
396,+ZOg>n,0.638078643778168,35,70,23.29,33,9,-1.16,3,543,223,66,15,267
396,5H3VCa,0.6205452029798307,37,126,32.34,37,16,4.24,9,384,99,51,18,219
396,7R5S-h,0.5775691816548769,35,152,29.19,35,14,2.41,10,472,108,48,5,245
396,91u6iJ,0.5775396124983586,33,163,31.1,25,27,-3.59,12,180,391,22,41,135
396,5@E5rH,0.5750147592940448,37,168,22.7,43,23,7.03,9,313,178,22,47,127
396,"`8*VG,",0.562373957713548,48,167,27.71,43,23,5.44,36,242,59,51,21,25
396,lR\iHN,0.559757497809875,38,62,35.84,28,7,-4.01,43,472,280,68,21,149
396,fuPw5k,0.5596368225410762,39,43,42.04,12,8,-6.03,39,782,227,80,10,256
396,2D4j*:,0.5498166685183093,32,228,36.17,37,24,1.91,7,348,103,68,3,76
396,"H<XF,l",0.5406817999780262,40,98,31.16,16,12,-5.22,21,277,263,37,4,260
396,a<<sMo,0.5322697883649736,59,27,25.74,33,6,-1.06,36,277,139,76,24,271
396,5S=Q?i,0.527184541676766,37,82,21.83,27,11,-0.59,9,481,143,46,16,249
396,"a5v:,r",0.489300593074663,44,69,36.07,37,8,-3.12,36,215,396,26,4,282
396,SWJi?Y,0.48547799700654626,36,73,32.8,37,8,-0.92,28,516,201,68,16,190
396,.QVrq_,0.45619756519171967,72,11,13.84,20,5,-0.62,5,463,254,76,46,212
396,5f6+)7,0.4349089737453946,67,154,17.73,83,12,4.9,9,649,112,13,3,65
396,_7@QqN,0.4263639090785848,44,87,28.24,46,15,3.21,35,233,156,46,46,149
396,4Ptp2B,0.4136466260927206,34,136,35.44,28,14,-1.41,8,454,387,74,8,105
495,Tv0(Zs,48.920559217363206,90,11,3.31,100,1,0.36,28,791,85,10,32,285
495,75\adC,2.1984656375367444,37,200,68.9,21,32,-4.78,10,215,280,61,38,109
495,3S.hwT,1.098392682290544,50,54,37.5,33,12,2.86,8,481,77,67,50,172
495,vBJh]Z,0.9874524395109103,43,53,39.69,37,8,-3.11,49,330,201,67,34,194
495,"[,Y.*j",0.9737822577987155,49,121,41.38,22,18,-2.42,33,135,267,15,3,252
495,l7\gc^,0.9454998231546154,60,35,42.7,25,8,-1.2,43,233,280,66,38,208
495,"tutp,b",0.8974759997659831,50,40,52.45,0,5,-5.75,48,782,387,74,4,223
495,Y-j@sZ,0.7421918311460971,56,23,20.73,0,3,-1.74,31,144,342,31,48,194
495,^D+leP,0.6719308178055013,46,106,32.53,41,17,1.46,34,348,63,70,39,157
495,+ZOg>n,0.638078643778168,35,70,23.29,33,9,-1.16,3,543,223,66,15,267
495,5H3VCa,0.6205452029798307,37,126,32.34,37,16,4.24,9,384,99,51,18,219
495,7R5S-h,0.5775691816548769,35,152,29.19,35,14,2.41,10,472,108,48,5,245
495,5@E5rH,0.5750147592940448,37,168,22.7,43,23,7.03,9,313,178,22,47,127
495,"`8*VG,",0.562373957713548,48,167,27.71,43,23,5.44,36,242,59,51,21,25
495,fuPw5k,0.5596368225410762,39,43,42.04,12,8,-6.03,39,782,227,80,10,256
495,2D4j*:,0.5498166685183093,32,228,36.17,37,24,1.91,7,348,103,68,3,76
495,"H<XF,l",0.5406817999780262,40,98,31.16,16,12,-5.22,21,277,263,37,4,260
495,a<<sMo,0.5322697883649736,59,27,25.74,33,6,-1.06,36,277,139,76,24,271
495,5S=Q?i,0.527184541676766,37,82,21.83,27,11,-0.59,9,481,143,46,16,249
495,"a5v:,r",0.489300593074663,44,69,36.07,37,8,-3.12,36,215,396,26,4,282
495,.QVrq_,0.45619756519171967,72,11,13.84,20,5,-0.62,5,463,254,76,46,212
495,5f6+)7,0.4349089737453946,67,154,17.73,83,12,4.9,9,649,112,13,3,65
495,_7@QqN,0.4263639090785848,44,87,28.24,46,15,3.21,35,233,156,46,46,149
495,4Ptp2B,0.4136466260927206,34,136,35.44,28,14,-1.41,8,454,387,74,8,105
495,5Bl/TL,0.3992644309760701,32,153,26.35,28,21,0.03,9,330,351,16,29,142
495,wK@GeQ,0.3977173093617539,42,68,22.15,30,10,-2.21,50,410,156,37,39,161
495,\ERgMp,0.378746446955677,53,28,16.3,33,6,-2.59,33,357,236,66,24,274
495,9.9F`9,0.37729001741581075,35,275,28.03,17,46,-8.04,12,153,125,37,36,72
495,"OEJO,F",0.3698234745401834,41,105,33.62,20,10,-4.61,25,357,201,45,4,120
495,jVXfX<,0.3690450612464637,37,64,24.67,14,7,-4.53,42,508,263,65,31,83
594,Tv0(Zs,48.920559217363206,90,11,3.31,100,1,0.36,28,791,85,10,32,285
594,75\adC,2.1984656375367444,37,200,68.9,21,32,-4.78,10,215,280,61,38,109
594,3S.hwT,1.098392682290544,50,54,37.5,33,12,2.86,8,481,77,67,50,172
594,vBJh]Z,0.9874524395109103,43,53,39.69,37,8,-3.11,49,330,201,67,34,194
594,"[,Y.*j",0.9737822577987155,49,121,41.38,22,18,-2.42,33,135,267,15,3,252
594,"tutp,b",0.8974759997659831,50,40,52.45,0,5,-5.75,48,782,387,74,4,223
594,Y-j@sZ,0.7421918311460971,56,23,20.73,0,3,-1.74,31,144,342,31,48,194
594,^D+leP,0.6719308178055013,46,106,32.53,41,17,1.46,34,348,63,70,39,157
594,+ZOg>n,0.638078643778168,35,70,23.29,33,9,-1.16,3,543,223,66,15,267
594,5H3VCa,0.6205452029798307,37,126,32.34,37,16,4.24,9,384,99,51,18,219
